rank,company,revenues,revenue_percent_change,profits,profits_percent_change,assets,market_value,change_in_rank_1000,employees,change_in_rank_500,link
1,Walmart,"$648,125",6%,"$15,511",32.80%,"$252,399","$484,852.8",-,"2,100,000",-,View More details about Walmart
2,Amazon,"$574,785",11.80%,"$30,425",,"$527,854","$1,873,675.8",-,"1,525,000",-,View More details about Amazon
3,Apple,"$383,285",-2.80%,"$96,995",-2.80%,"$352,583","$2,647,973.8",1,"161,000",1,View More details about Apple
4,UnitedHealth Group,"$371,622",14.60%,"$22,381",11.20%,"$273,720","$456,080.8",1,"440,000",1,View More details about UnitedHealth Group
5,Berkshire Hathaway,"$364,482",20.70%,"$96,223",,"$1,069,978","$908,919.7",2,"396,500",2,View More details about Berkshire Hathaway
6,CVS Health,"$357,776",10.90%,"$8,344",101.10%,"$249,728","$100,373.9",-,"259,500",-,View More details about CVS Health
7,ExxonMobil Holdings,"$344,582",-16.70%,"$36,010",-35.40%,"$376,317","$461,222.2",-4,"61,500",-4,View More details about ExxonMobil Holdings
8,Alphabet,"$307,394",8.70%,"$73,795",23%,"$402,392","$1,884,633",-,"182,502",-,View More details about Alphabet
9,McKesson,"$276,711",4.80%,"$3,560",219.60%,"$62,320","$70,546.5",-,"48,000",-,View More details about McKesson
10,Cencora,"$262,173.4",9.90%,"$1,745.3",2.70%,"$62,558.7","$48,472.1",1,"44,000",1,View More details about Cencora
11,Costco Wholesale,"$242,290",6.80%,"$6,292",7.70%,"$68,994","$324,924.4",1,"316,000",1,View More details about Costco Wholesale
12,JPMorgan Chase,"$239,425",54.70%,"$49,552",31.50%,"$3,875,393","$576,938.4",11,"309,926",11,View More details about JPMorgan Chase
13,Microsoft,"$211,915",6.90%,"$72,361",-0.50%,"$411,976","$3,126,133.1",-,"221,000",-,View More details about Microsoft
14,Cardinal Health,"$205,012",13%,$261,,"$43,417","$27,217.8",-,"47,520",-,View More details about Cardinal Health
15,Chevron,"$200,949",-18.40%,"$21,369",-39.70%,"$261,632","$292,965.6",-5,"45,600",-5,View More details about Chevron
16,Cigna Group,"$195,265",8.20%,"$5,164",-22.60%,"$152,761","$103,017.9",-1,"71,413",-1,View More details about Cigna Group
17,Ford Motor,"$176,191",11.50%,"$4,347",,"$273,310","$53,017.8",2,"177,000",2,View More details about Ford Motor
18,Bank of America,"$171,912",49.40%,"$26,515",-3.70%,"$3,180,151","$299,213",14,"212,985",14,View More details about Bank of America
19,General Motors,"$171,842",9.60%,"$10,127",1.90%,"$273,064","$52,353.5",2,"163,000",2,View More details about General Motors
20,Elevance Health,"$171,340",9.40%,"$5,987",-0.60%,"$108,928","$120,619.6",2,"104,900",2,View More details about Elevance Health
21,Citigroup,"$156,820",55.10%,"$9,228",-37.80%,"$2,411,834","$121,122.2",15,"237,925",15,View More details about Citigroup
22,Centene,"$153,999",6.50%,"$2,702",124.80%,"$84,641","$41,979.4",3,"67,700",3,View More details about Centene
23,Home Depot,"$152,669",-3%,"$15,143",-11.50%,"$76,530","$380,153.7",-3,"463,100",-3,View More details about Home Depot
24,Marathon Petroleum,"$150,307",-16.50%,"$9,681",-33.30%,"$85,987","$72,607.7",-8,"18,200",-8,View More details about Marathon Petroleum
25,Kroger,"$150,039",1.20%,"$2,164",-3.60%,"$50,505","$41,100.7",-1,"414,000",-1,View More details about Kroger
26,Phillips 66,"$149,890",-14.70%,"$7,015",-36.40%,"$75,501","$69,880.8",-9,"14,000",-9,View More details about Phillips 66
27,Fannie Mae,"$141,240",16.20%,"$17,408",34.70%,"$4,325,437","$1,818.2",1,"8,100",1,View More details about Fannie Mae
28,Walgreens Boots Alliance,"$139,081",4.80%,"$-3,080",-171%,"$96,628","$18,712.3",-1,"268,500",-1,View More details about Walgreens Boots Alliance
29,Valero Energy,"$139,001",-18.80%,"$8,835",-23.40%,"$63,056","$56,234.5",-11,"9,897",-11,View More details about Valero Energy
30,Meta Platforms,"$134,902",15.70%,"$39,098",68.50%,"$229,623","$1,237,940.1",1,"67,317",1,View More details about Meta Platforms
31,Verizon Communications,"$133,974",-2.10%,"$11,614",-45.40%,"$380,255","$176,651.6",-5,"105,400",-5,View More details about Verizon Communications
32,AT&T,"$122,428",1.40%,"$14,400",,"$407,060","$125,889.1",-2,"150,470",-2,View More details about AT&T
33,Comcast,"$121,572",0.10%,"$15,388",186.60%,"$264,811","$172,180",-4,"186,000",-4,View More details about Comcast
34,Wells Fargo,"$115,340",39.20%,"$19,142",45.20%,"$1,932,468","$205,201.8",13,"226,000",13,View More details about Wells Fargo
35,Goldman Sachs Group,"$108,418",57.80%,"$8,516",-24.40%,"$1,641,594","$135,551.7",20,"45,300",20,View More details about Goldman Sachs Group
36,Freddie Mac,"$108,050",24.60%,"$10,538",13%,"$3,280,976",$877.6,9,"8,020",9,View More details about Freddie Mac
37,Target,"$107,412",-1.60%,"$4,138",48.80%,"$55,356","$81,816.1",-4,"415,000",-4,View More details about Target
38,Humana,"$106,374",14.50%,"$2,489",-11.30%,"$47,065","$41,796.7",4,"67,600",4,View More details about Humana
39,State Farm Insurance,"$104,198.6",16.60%,"$-6,272.3",,"$339,484.7",-,5,"65,054",5,View More details about State Farm Insurance
40,Tesla,"$96,773",18.80%,"$14,997",19.40%,"$106,618","$559,854.3",10,"140,473",10,View More details about Tesla
41,Morgan Stanley,"$96,194",45.90%,"$9,087",-17.60%,"$1,193,693","$153,976.9",20,"80,006",20,View More details about Morgan Stanley
42,Johnson & Johnson,"$95,195",0.30%,"$35,153",95.90%,"$167,558","$381,203.6",-2,"131,900",-2,View More details about Johnson & Johnson
43,Archer Daniels Midland,"$93,935",-7.50%,"$3,483",-19.70%,"$54,631","$32,023.6",-8,"41,008",-8,View More details about Archer Daniels Midland
44,PepsiCo,"$91,471",5.90%,"$9,074",1.80%,"$100,495","$240,552.8",2,"318,000",2,View More details about PepsiCo
45,UPS,"$90,958",-9.30%,"$6,708",-41.90%,"$70,857","$126,828.9",-8,"382,550",-8,View More details about UPS
46,FedEx,"$90,155",-3.60%,"$3,972",3.80%,"$87,143","$71,299.4",-5,"446,400",-5,View More details about FedEx
47,Walt Disney,"$88,898",7.50%,"$2,354",-25.20%,"$205,579","$224,445.2",1,"199,125",1,View More details about Walt Disney
48,Dell Technologies,"$88,425",-13.60%,"$3,211",31.50%,"$82,089","$81,450.6",-14,"120,000",-14,View More details about Dell Technologies
49,Lowe's,"$86,377",-11%,"$7,726",20%,"$41,795","$145,752.5",-10,"226,000",-10,View More details about Lowe's
50,Procter & Gamble,"$82,006",2.30%,"$14,653",-0.60%,"$120,829","$381,777.7",1,"107,000",1,View More details about Procter & Gamble
51,Energy Transfer,"$78,586",-12.60%,"$3,935",-17.30%,"$113,698","$52,974.8",-8,"13,786",-8,View More details about Energy Transfer
52,Boeing,"$77,794",16.80%,"$-2,222",,"$137,012","$117,750",6,"171,000",6,View More details about Boeing
53,Albertsons,"$77,649.7",8%,"$1,513.5",-6.60%,"$26,168.2","$12,350.3",-,"198,650",-,View More details about Albertsons
54,Sysco,"$76,324.7",11.20%,"$1,770.1",30.30%,"$22,821.1","$40,413.8",2,"71,750",2,View More details about Sysco
55,RTX,"$68,920",2.80%,"$3,195",-38.50%,"$161,869","$129,680.3",2,"185,000",2,View More details about RTX
56,GE Aerospace,"$67,954",-11.20%,"$9,481",4113.80%,"$163,045","$191,901.2",-4,"125,000",-4,View More details about GE Aerospace
57,Lockheed Martin,"$67,571",2.40%,"$6,920",20.70%,"$52,456","$109,394.2",3,"122,000",3,View More details about Lockheed Martin
58,American Express,"$67,364",21.10%,"$8,374",11.40%,"$261,108","$163,945.6",19,"74,600",19,View More details about American Express
