rank,company,revenues,revenue_percent_change,profits,profits_percent_change,assets,market_value,change_in_rank_1000,employees,change_in_rank_500,link,
362,Univar Solutions,"$8,265",-12.50%,$52.9,-,"$6,355","$3,650.6",-23,"9,457",-23,373,View More details about Univar Solutions
363,Yum China Holdings,"$8,263",-5.80%,$784,10%,"$10,875","$24,892.3",-2,"271,000",-2,294,View More details about Yum China Holdings
364,Targa Resources,"$8,260.3",-4.70%,"$-1,553.9",-,"$15,875.7","$7,259.8",1,"2,372",1,366,View More details about Targa Resources
365,Intercontinental Exchange,"$8,244",25.90%,"$2,089",8.10%,"$126,200","$62,843.7",94,"8,890",94,297,View More details about Intercontinental Exchange
366,Andersons,"$8,208.4",0.50%,$7.7,-57.90%,"$4,272.1",$921.9,24,"2,294",24,454,View More details about Andersons
367,Raymond James Financial,"$8,168",1.80%,$818,-20.90%,"$47,482","$16,877.9",29,"14,800",29,386,View More details about Raymond James Financial
368,Thor Industries,"$8,167.9",3.90%,$223,67.30%,"$5,771.5","$7,460",36,"22,250",36,374,View More details about Thor Industries
369,Thrivent Financial,"$8,152.7",-5.30%,$637,-34.20%,"$110,151.7",-,-1,"3,386",-1,-,View More details about Thrivent Financial
370,Hershey,"$8,149.7",2%,"$1,278.7",11.20%,"$9,131.8","$32,765.3",28,"16,040",28,69,View More details about Hershey
371,Casey's General Stores,"$8,112.3",-3%,$263.8,29.40%,"$3,943.9","$7,987.6",7,"27,218",7,256,View More details about Casey's General Stores
372,W.R. Berkley,"$8,098.9",2.50%,$530.7,-22.20%,"$28,606.9","$13,364.2",30,"7,495",30,130,View More details about W.R. Berkley
373,Activision Blizzard,"$8,086",24.60%,"$2,197",46.20%,"$23,109","$72,052.1",90,"9,500",90,399,View More details about Activision Blizzard
374,Western & Southern Financial Group,"$8,057.9",1.70%,$204.4,-16.50%,"$57,595.4",-,27,"2,729",27,-,View More details about Western & Southern Financial Group
375,American Tower,"$8,041.5",6.10%,"$1,690.6",-10.40%,"$47,233.5","$106,234.5",39,"5,618",39,367,View More details about American Tower
376,American Financial Group,"$7,909",-4%,$732,-18.40%,"$73,566","$9,858.2",7,"7,300",7,399,View More details about American Financial Group
377,Darden Restaurants,"$7,806.9",-8.30%,$-52.4,-107.30%,"$9,946.1","$18,506.6",-5,"177,895",-5,334,View More details about Darden Restaurants
378,J.M. Smucker,"$7,801",-0.50%,$779.5,51.50%,"$16,970.4","$13,865.9",29,"7,300",29,164,View More details about J.M. Smucker
379,Williams,"$7,719",-5.90%,$211,-75.20%,"$44,165","$28,777.6",8,"4,739",8,216,View More details about Williams
380,Intuit,"$7,679",13.20%,"$1,826",17.30%,"$10,931","$104,897.1",65,"11,950",65,55,View More details about Intuit
381,Citizens Financial Group,"$7,676",-4.80%,"$1,057",-41%,"$183,349","$18,768.4",14,"17,584",14,143,View More details about Citizens Financial Group
382,PPL,"$7,607",-2.10%,"$1,469",-15.90%,"$48,116","$22,177.5",26,"12,318",26,240,View More details about PPL
383,NVR,"$7,566",1.90%,$901.2,2.60%,"$5,777.1","$17,318",34,"6,100",34,330,View More details about NVR
384,Westinghouse Air Brake,"$7,556.1",-7.90%,$414.4,26.80%,"$18,454.5","$14,953",4,"27,000",4,158,View More details about Westinghouse Air Brake
385,Foot Locker,"$7,548",-5.70%,$323,-34.20%,"$7,043","$5,809.4",12,"33,522",12,196,View More details about Foot Locker
386,Cincinnati Financial,"$7,536.3",-4.90%,"$1,216.4",-39.10%,"$27,541.7","$16,601.6",14,"5,266",14,198,View More details about Cincinnati Financial
387,Weyerhaeuser,"$7,532",14.90%,$797,-,"$16,311","$26,655.3",70,"9,372",70,396,View More details about Weyerhaeuser
388,Westlake,"$7,504",-7.60%,$330,-21.60%,"$13,835","$11,350.4",3,"9,220",3,399,View More details about Westlake
389,Navistar International,"$7,503",-33.30%,$-347,-257%,"$6,637","$4,390.5",-105,"12,100",-105,399,View More details about Navistar International
390,Magellan Health,"$7,501.5",4.80%,$382.3,583.90%,"$3,359.9","$2,421",42,"9,000",42,399,View More details about Magellan Health
391,Booz Allen Hamilton Holding,"$7,463.8",11.30%,$482.6,15.30%,"$4,794","$11,089.5",59,"27,200",59,187,View More details about Booz Allen Hamilton Holding
392,Autoliv,"$7,447.4",-12.90%,$186.9,-59.50%,"$8,156.8","$8,112.8",-23,"64,716",-23,380,View More details about Autoliv
393,S&P Global,"$7,442",11.10%,"$2,339",10.20%,"$12,537","$85,001.6",58,"23,000",58,129,View More details about S&P Global
394,Global Payments,"$7,423.6",51.10%,$584.5,35.70%,"$44,201.5","$59,484.3",159,"24,000",-,399,View More details about Global Payments
395,Motorola Solutions,"$7,414",-6%,$949,9.30%,"$10,876","$31,785.8",8,"18,000",8,212,View More details about Motorola Solutions
396,KeyCorp,"$7,337",-4.60%,"$1,343",-21.80%,"$170,336","$19,182",15,"16,826",15,99,View More details about KeyCorp
397,Delek US Holdings,"$7,301.8",-21.50%,$-608,-295.80%,"$6,134.1","$1,609",-55,"3,532",-55,399,View More details about Delek US Holdings
398,Masco,"$7,289",-11.50%,"$1,224",30.90%,"$5,777","$15,208.8",-14,"18,000",-14,-,View More details about Masco
399,Graybar Electric,"$7,265.7",-3.40%,$121.8,-15.70%,"$2,551.2",-,16,"8,200",16,-,View More details about Graybar Electric
400,WEC Energy Group,"$7,241.7",-3.70%,"$1,199.9",5.80%,"$37,028.1","$29,521.5",16,"7,273",16,312,View More details about WEC Energy Group
401,Old Republic International,"$7,166",-0.70%,$558.6,-47.10%,"$22,815.2","$6,650.3",26,"9,000",26,453,View More details about Old Republic International
402,Frontier Communications,"$7,155",-11.70%,$-402,-,"$16,795",$29.3,-9,"16,200",-9,454,View More details about Frontier Communications
403,Chewy,"$7,146.3",47.40%,$-92.5,-,"$1,740.9","$35,176.9",156,"18,500",-,454,View More details about Chewy
