rank,company,revenues,revenue_percent_change,profits,profits_percent_change,assets,market_value,change_in_rank_1000,employees,change_in_rank_500,link,
1,Walmart,"$559,151",6.70%,"$13,510",-9.20%,"$252,496","$382,642.8",-,"2,300,000",-,20,View More details about Walmart
2,Amazon,"$386,064",37.60%,"$21,331",84.10%,"$321,195","$1,558,069.6",-,"1,298,000",-,11,View More details about Amazon
3,Apple,"$274,515",5.50%,"$57,411",3.90%,"$323,888","$2,050,665.9",1,"147,000",1,188,View More details about Apple
4,CVS Health,"$268,706",4.60%,"$7,179",8.20%,"$230,715","$98,653.2",1,"256,500",1,57,View More details about CVS Health
5,UnitedHealth Group,"$257,141",6.20%,"$15,403",11.30%,"$197,289","$351,725",2,"330,000",2,25,View More details about UnitedHealth Group
6,Berkshire Hathaway,"$245,510",-3.60%,"$42,521",-47.80%,"$873,729","$587,823",-,"360,000",-,-,View More details about Berkshire Hathaway
7,McKesson,"$231,051",7.80%,$900,2547.10%,"$61,247","$31,044",1,"70,000",1,205,View More details about McKesson
8,Cencora,"$189,893.9",5.70%,"$-3,408.7",-498.50%,"$44,274.8","$24,169.7",2,"21,500",2,120,View More details about Cencora
9,Alphabet,"$182,527",12.80%,"$40,269",17.30%,"$319,616","$1,392,561.8",2,"135,301",2,215,View More details about Alphabet
10,ExxonMobil Holdings,"$181,502",-31.50%,"$-22,440",-256.50%,"$332,750","$236,355.4",-7,"72,000",-7,327,View More details about ExxonMobil Holdings
11,AT&T,"$171,760",-5.20%,"$-5,176",-137.20%,"$525,761","$215,878.5",-2,"230,760",-2,26,View More details about AT&T
12,Costco Wholesale,"$166,761",9.20%,"$4,002",9.40%,"$55,556","$155,984.3",2,"214,500",2,123,View More details about Costco Wholesale
13,Cigna Group,"$160,401",4.50%,"$8,458",65.70%,"$155,451","$83,976.1",-,"72,963",-,179,View More details about Cigna Group
14,Cardinal Health,"$152,922",5.10%,"$-3,696",-371.20%,"$40,766","$17,840.3",2,"48,000",2,64,View More details about Cardinal Health
15,Microsoft,"$143,015",13.60%,"$44,281",12.80%,"$301,311","$1,778,228.2",6,"163,000",6,1,View More details about Microsoft
16,Walgreens Boots Alliance,"$139,537",2%,$456,-88.50%,"$87,174","$47,455.3",3,"277,000",3,19,View More details about Walgreens Boots Alliance
17,Kroger,"$132,498",8.40%,"$2,585",55.80%,"$48,662","$27,064.3",6,"465,000",6,190,View More details about Kroger
18,Home Depot,"$132,110",19.90%,"$12,866",14.40%,"$70,581","$328,775.4",8,"504,800",8,66,View More details about Home Depot
19,JPMorgan Chase,"$129,503",-9.10%,"$29,131",-20%,"$3,386,071","$464,530.8",-2,"255,351",-2,54,View More details about JPMorgan Chase
20,Verizon Communications,"$128,292",-2.70%,"$17,801",-7.60%,"$316,481","$240,633.3",-,"132,200",-,7,View More details about Verizon Communications
21,Ford Motor,"$127,144",-18.40%,"$-1,279",-2821.30%,"$267,261","$48,739",-9,"186,000",-9,207,View More details about Ford Motor
22,General Motors,"$122,485",-10.70%,"$6,427",-4.50%,"$235,194","$82,794.9",-4,"155,000",-4,156,View More details about General Motors
23,Elevance Health,"$121,867",16.90%,"$4,572",-4.90%,"$86,615","$87,908.9",6,"83,400",6,18,View More details about Elevance Health
24,Centene,"$111,115",48.90%,"$1,808",36.90%,"$68,719","$37,169.6",18,"71,300",18,2,View More details about Centene
25,Fannie Mae,"$106,437",-11.50%,"$11,805",-16.60%,"$3,985,749","$2,397.2",-1,"7,700",-1,343,View More details about Fannie Mae
26,Comcast,"$103,564",-4.90%,"$10,534",-19.30%,"$273,869","$247,859.3",2,"168,000",2,88,View More details about Comcast
27,Chevron,"$94,692",-35.40%,"$-5,543",-289.60%,"$239,790","$201,865",-12,"47,736",-12,56,View More details about Chevron
28,Dell Technologies,"$94,224",2.20%,"$3,250",-29.60%,"$123,415","$67,229.1",6,"158,000",6,142,View More details about Dell Technologies
29,Bank of America,"$93,753",-17.50%,"$17,894",-34.80%,"$2,819,627","$333,788.4",-4,"212,505",-4,10,View More details about Bank of America
30,Target,"$93,561",19.80%,"$4,368",33.10%,"$51,248","$98,760.9",7,"409,000",7,3,View More details about Target
31,Lowe's,"$89,597",24.20%,"$5,835",36.30%,"$46,735","$136,407.9",13,"280,000",13,175,View More details about Lowe's
32,Marathon Petroleum,"$88,952",-28.70%,"$-9,826",-472.60%,"$85,158","$34,873.8",-10,"57,900",-10,181,View More details about Marathon Petroleum
33,Citigroup,"$88,839",-14.10%,"$11,047",-43.10%,"$2,260,090","$151,806.4",-2,"210,153",-2,17,View More details about Citigroup
34,Meta Platforms,"$85,965",21.60%,"$29,146",57.70%,"$159,316","$838,724.2",12,"58,604",12,44,View More details about Meta Platforms
35,UPS,"$84,628",14.20%,"$1,343",-69.80%,"$62,408","$147,791.6",8,"408,255",8,105,View More details about UPS
36,Johnson & Johnson,"$82,584",0.60%,"$14,714",-2.70%,"$174,894","$432,685.3",-1,"134,500",-1,51,View More details about Johnson & Johnson
37,Wells Fargo,"$80,303",-22.70%,"$3,301",-83.10%,"$1,955,163","$161,521",-7,"268,531",-7,13,View More details about Wells Fargo
38,GE Aerospace,"$79,619",-16.40%,"$5,704",-,"$253,452","$115,342.5",-5,"184,000",-5,306,View More details about GE Aerospace
39,State Farm Insurance,"$78,898",-0.60%,"$3,738.9",-33.10%,"$299,104.5",-,-3,"57,582",-3,-,View More details about State Farm Insurance
40,Intel,"$77,867",8.20%,"$20,899",-0.70%,"$153,091","$260,630.1",5,"110,600",5,6,View More details about Intel
41,Humana,"$77,155",18.90%,"$3,367",24.40%,"$34,969","$54,087.7",11,"48,700",11,48,View More details about Humana
42,IBM,"$73,620",-4.60%,"$5,590",-40.70%,"$155,971","$119,080.3",-4,"364,800",-4,91,View More details about IBM
43,Procter & Gamble,"$70,950",4.80%,"$13,027",234.30%,"$120,700","$333,493.1",7,"99,000",7,127,View More details about Procter & Gamble
44,PepsiCo,"$70,372",4.80%,"$7,120",-2.70%,"$92,918","$195,207.7",7,"291,000",7,58,View More details about PepsiCo
45,FedEx,"$69,217",-0.70%,"$1,286",138.10%,"$73,537","$75,367.8",2,"418,000",2,125,View More details about FedEx
46,MetLife,"$67,842",-2.60%,"$5,407",-8.30%,"$795,146","$53,762.6",2,"46,500",2,23,View More details about MetLife
47,Freddie Mac,"$66,228",-11.80%,"$7,326",1.60%,"$2,627,415","$1,332.6",-6,"6,922",-6,256,View More details about Freddie Mac
48,Phillips 66,"$65,494",-40.20%,"$-3,975",-229.20%,"$54,721","$35,703.6",-21,"14,300",-21,283,View More details about Phillips 66
49,Lockheed Martin,"$65,398",9.30%,"$6,833",9.70%,"$50,710","$102,984.2",8,"114,000",8,160,View More details about Lockheed Martin
50,Walt Disney,"$65,388",-6%,"$-2,864",-125.90%,"$201,549","$334,952.5",-1,"203,000",-1,41,View More details about Walt Disney
51,Archer Daniels Midland,"$64,355",-0.50%,"$1,772",28.50%,"$49,719","$31,834.5",3,"38,332",3,128,View More details about Archer Daniels Midland
52,Albertsons,"$62,455.1",3.20%,$466.4,255.80%,"$24,735.1","$8,877.7",3,"270,000",3,-,View More details about Albertsons
53,Valero Energy,"$60,115",-41.50%,"$-1,421",-158.70%,"$51,774","$29,267.2",-21,"9,964",-21,239,View More details about Valero Energy
54,Boeing,"$58,158",-24%,"$-11,873",-,"$152,136","$148,664.8",-14,"141,000",-14,256,View More details about Boeing
55,Prudential Financial,"$57,033",-12%,$-374,-108.90%,"$940,722","$36,022.4",-2,"41,671",-2,189,View More details about Prudential Financial
56,HP,"$56,639",-3.60%,"$2,844",-9.80%,"$34,681","$39,579.5",2,"53,000",2,71,View More details about HP
57,RTX,"$56,587",-26.60%,"$-3,519",-163.60%,"$162,153","$117,143.9",-18,"181,000",-18,-,View More details about RTX
58,StoneX Group,"$54,139.6",64.60%,$169.6,99.30%,"$13,474.9","$1,284.4",42,"2,950",42,454,View More details about StoneX Group
59,Goldman Sachs Group,"$53,498",-0.80%,"$9,459",11.70%,"$1,163,028","$116,903",1,"40,500",1,46,View More details about Goldman Sachs Group
60,Sysco,"$52,893.3",-12%,$215.5,-87.10%,"$22,628.3","$40,189.8",-4,"57,000",-4,115,View More details about Sysco
61,Morgan Stanley,"$52,047",-3.30%,"$10,996",21.60%,"$1,115,862","$146,161.9",-,"68,097",-,47,View More details about Morgan Stanley
62,HCA Healthcare,"$51,533",0.40%,"$3,754",7.10%,"$47,490","$63,458.7",3,"235,000",3,311,View More details about HCA Healthcare
63,Cisco Systems,"$49,301",-5%,"$11,214",-3.50%,"$94,853","$218,308.5",-,"77,500",-,80,View More details about Cisco Systems
64,Charter Communications,"$48,097",5.10%,"$3,222",93.20%,"$144,206","$128,965.7",7,"96,100",7,162,View More details about Charter Communications
65,Merck,"$47,994",2.50%,"$7,067",-28.20%,"$91,588","$195,062",4,"73,500",4,35,View More details about Merck
66,Best Buy,"$47,262",8.30%,"$1,798",16.70%,"$19,067","$28,707.7",9,"81,600",9,137,View More details about Best Buy
67,New York Life Insurance,"$46,712.4",5.90%,$-822.3,-181.90%,"$359,312.5",-,6,"11,506",6,186,View More details about New York Life Insurance
68,AbbVie,"$45,804",37.70%,"$4,616",-41.40%,"$150,565","$190,989.4",31,"47,000",31,77,View More details about AbbVie
69,Publix Super Markets,"$45,204",17.50%,"$3,971.8",32.20%,"$28,094.1",-,18,"227,000",18,-,View More details about Publix Super Markets
70,Allstate,"$44,791",0.30%,"$5,576",15%,"$125,987","$34,800.2",2,"42,010",2,8,View More details about Allstate
71,Liberty Mutual Insurance Group,"$43,796",1.30%,$758,-27.40%,"$145,377",-,6,"45,000",6,230,View More details about Liberty Mutual Insurance Group
72,AIG,"$43,736",-12.10%,"$-5,944",-277.50%,"$586,481","$39,848.9",-6,"45,000",-6,343,View More details about AIG
73,Tyson Foods,"$43,185",1.80%,"$2,061",4.10%,"$34,456","$27,099.6",6,"139,000",6,220,View More details about Tyson Foods
74,Progressive,"$42,658.1",9.30%,"$5,704.6",43.70%,"$64,098.3","$55,946.5",12,"43,326",12,16,View More details about Progressive
75,Bristol-Myers Squibb,"$42,518",62.60%,"$-9,015",-362.10%,"$118,481","$141,027.9",40,"30,250",40,-,View More details about Bristol-Myers Squibb
76,Nationwide,"$41,929.8",-4.70%,$-138.4,-116.70%,"$256,589.3",-,-2,"25,391",-2,-,View More details about Nationwide
77,Pfizer,"$41,908",-19%,"$9,616",-40.90%,"$154,229","$202,096.9",-13,"78,500",-13,203,View More details about Pfizer
78,Caterpillar,"$41,748",-22.40%,"$2,998",-50.80%,"$78,324","$126,439.6",-16,"97,300",-16,139,View More details about Caterpillar
79,TIAA,"$41,619.3",2.90%,$558.1,-77.30%,"$654,252",-,2,"14,953",2,-,View More details about TIAA
80,Oracle,"$39,068",-1.10%,"$10,135",-8.60%,"$115,438","$202,337.7",2,"135,000",2,365,View More details about Oracle
81,Energy Transfer,"$38,954",-28.10%,$-648,-118%,"$95,144","$20,754.7",-22,"11,421",-22,363,View More details about Energy Transfer
82,Dow,"$38,542",-10.30%,"$1,225",-,"$61,470","$47,649.7",-4,"35,700",-4,133,View More details about Dow
83,American Express,"$38,185",-18.80%,"$3,135",-53.60%,"$191,367","$113,635.8",-16,"63,700",-16,29,View More details about American Express
84,General Dynamics,"$37,925",-3.60%,"$3,167",-9.10%,"$51,308","$51,481.9",-1,"100,700",-1,157,View More details about General Dynamics
85,Nike,"$37,403",-4.40%,"$2,539",-37%,"$31,342","$209,499.8",-,"75,400",-,12,View More details about Nike
86,Northrop Grumman,"$36,799",8.70%,"$3,189",41.90%,"$44,469","$53,956.7",10,"97,000",10,111,View More details about Northrop Grumman
87,USAA,"$36,296.2",1.90%,"$3,906.9",-2.50%,"$200,348.4",-,7,"35,935",7,245,View More details about USAA
88,Deere,"$35,540",-9.50%,"$2,751",-15.40%,"$75,091","$117,270",-4,"69,634",-4,168,View More details about Deere
89,Abbott Laboratories,"$34,608",8.50%,"$4,495",21.90%,"$72,548","$212,300.1",15,"109,000",15,62,View More details about Abbott Laboratories
90,Northwestern Mutual,"$33,782.1",4.60%,$425,-66.50%,"$308,767",-,12,"6,641",12,-,View More details about Northwestern Mutual
91,Dollar General,"$33,746.8",21.60%,"$2,655.1",55%,"$25,862.6","$48,479.7",21,"158,000",21,343,View More details about Dollar General
92,Exelon,"$33,039",-4.10%,"$1,963",-33.10%,"$129,317","$42,723.5",3,"32,340",3,217,View More details about Exelon
93,Coca-Cola,"$33,014",-11.40%,"$7,747",-13.20%,"$87,296","$227,143.8",-5,"80,300",-5,262,View More details about Coca-Cola
94,Honeywell International,"$32,637",-11.10%,"$4,779",-22.20%,"$64,586","$150,972.4",-2,"103,000",-2,321,View More details about Honeywell International
95,Thermo Fisher Scientific,"$32,218",26.10%,"$6,375",72.50%,"$69,052","$179,719.4",24,"84,362",24,278,View More details about Thermo Fisher Scientific
96,3M,"$32,184",0.10%,"$5,384",17.80%,"$47,344","$111,642.1",7,"94,987",7,106,View More details about 3M
97,TJX,"$32,137",-23%,$90.5,-97.20%,"$30,813.6","$79,774.9",-17,"320,000",-17,36,View More details about TJX
98,Travelers,"$31,981",1.30%,"$2,697",2.90%,"$116,764","$37,933",8,"30,294",8,173,View More details about Travelers
99,Capital One Financial,"$31,643",-6.30%,"$2,714",-51.10%,"$421,602","$58,097",-2,"51,985",-2,34,View More details about Capital One Financial
100,Tesla,"$31,536",28.30%,$721,-,"$52,148","$641,115",24,"70,757",24,172,View More details about Tesla
101,Philip Morris International,"$28,694",-3.70%,"$8,056",12.10%,"$44,815","$138,302.4",6,"71,000",6,67,View More details about Philip Morris International
102,Arrow Electronics,"$28,673.4",-0.80%,$584.4,-,"$17,053.9","$8,267.5",8,"19,600",8,368,View More details about Arrow Electronics
103,CHS,"$28,406.4",-11%,$422.4,-49.10%,"$15,993.9",-,2,"10,493",2,-,View More details about CHS
104,Jabil,"$27,266.4",7.80%,$53.9,-81.20%,"$14,397.4","$7,833.2",17,"240,000",17,301,View More details about Jabil
105,Enterprise Products Partners,"$27,199.7",-17%,"$3,775.6",-17.80%,"$64,106.7","$48,038.8",-4,"7,130",-4,451,View More details about Enterprise Products Partners
106,Hewlett Packard Enterprise,"$26,982",-7.40%,$-322,-130.70%,"$54,015","$20,480",3,"59,400",3,84,View More details about Hewlett Packard Enterprise
107,United Natural Foods,"$26,742.8",13.90%,$-274.1,-,"$7,587","$1,854.4",26,"28,300",26,178,View More details about United Natural Foods
108,Mondelez International,"$26,581",2.80%,"$3,555",-8.10%,"$67,810","$82,651.1",9,"79,000",9,237,View More details about Mondelez International
109,Paramount Skydance,"$26,186",-5.80%,"$2,422",-26.80%,"$52,663","$28,853.2",2,"24,225",2,60,View More details about Paramount Skydance
110,Kraft Heinz,"$26,185",4.80%,$356,-81.60%,"$99,830","$48,924.7",12,"38,000",12,236,View More details about Kraft Heinz
111,Dollar Tree,"$25,509.3",8%,"$1,341.9",62.30%,"$20,696","$26,717.4",20,"129,772",20,112,View More details about Dollar Tree
112,Amgen,"$25,424",8.80%,"$7,264",-7.40%,"$62,948","$143,704.3",23,"24,300",23,152,View More details about Amgen
113,U.S. Bancorp,"$25,241",-7.60%,"$4,959",-28.30%,"$553,905","$83,107.4",-,"68,108",-,185,View More details about U.S. Bancorp
114,Performance Food Group,"$25,086.3",27.10%,$-114.1,-168.40%,"$7,719.7","$7,705.3",54,"20,000",54,454,View More details about Performance Food Group
115,Netflix,"$24,996.1",24%,"$2,761.4",47.90%,"$39,280.4","$231,040.7",49,"9,400",49,166,View More details about Netflix
116,Gilead Sciences,"$24,689",10%,$123,-97.70%,"$68,407","$81,372.8",24,"13,600",24,28,View More details about Gilead Sciences
117,TD Synnex,"$24,675.6",3.90%,$529.2,5.70%,"$13,468.6","$5,874.5",13,"277,900",13,330,View More details about TD Synnex
118,Eli Lilly,"$24,539.8",9.90%,"$6,193.7",-25.50%,"$46,633.1","$179,158.9",27,"35,000",27,27,View More details about Eli Lilly
119,Truist Financial,"$24,427",66.60%,"$4,482",39%,"$509,228","$78,408.5",98,"53,638",98,42,View More details about Truist Financial
120,PNC Financial Services Group,"$24,039",11.20%,"$7,517",40%,"$466,679","$74,377.4",31,"50,403",31,-,View More details about PNC Financial Services Group
121,Broadcom,"$23,888",5.70%,"$2,960",8.70%,"$75,933","$189,313.5",17,"21,000",17,320,View More details about Broadcom
122,CBRE Group,"$23,826.2",-0.30%,$752,-41.40%,"$18,039.1","$26,549.1",6,"100,000",6,126,View More details about CBRE Group
123,Massachusetts Mutual Life,"$23,663.1",-36.50%,$-100.5,-102.70%,"$322,936.3",-,-34,"9,974",-34,-,View More details about Massachusetts Mutual Life
124,Qualcomm,"$23,531",-3.10%,"$5,198",18.50%,"$35,594","$150,622.2",2,"41,000",2,78,View More details about Qualcomm
125,Starbucks,"$23,518",-11.30%,$928.3,-74.20%,"$29,374.5","$128,643.6",-11,"349,000",-11,299,View More details about Starbucks
126,Duke Energy,"$23,453",-4.90%,"$1,377",-63.30%,"$162,388","$74,252.5",-3,"27,535",-3,184,View More details about Duke Energy
127,Plains GP Holdings,"$23,290",-30.80%,$-568,-271.60%,"$25,951","$1,824.5",-29,"4,400",-29,452,View More details about Plains GP Holdings
128,US Foods Holding,"$22,885",-11.80%,$-226,-158.70%,"$12,423","$8,427.5",-12,"26,000",-12,343,View More details about US Foods Holding
129,Lennar,"$22,488.9",1%,"$2,465",33.30%,"$29,935.2","$30,893.2",18,"9,495",18,399,View More details about Lennar
130,Danaher,"$22,284",8.60%,"$3,646",21.20%,"$76,161","$160,497.2",31,"69,000",31,124,View More details about Danaher
131,Aflac,"$22,147",-0.70%,"$4,778",44.60%,"$165,086","$35,191.4",15,"12,003",15,63,View More details about Aflac
132,Rite Aid,"$21,928.4",1.20%,$-452.2,-,"$9,452.4","$1,129.9",18,"39,920",18,108,View More details about Rite Aid
133,Visa,"$21,846",-4.90%,"$10,866",-10%,"$80,919","$452,525.4",4,"20,500",4,14,View More details about Visa
134,PayPal Holdings,"$21,454",20.70%,"$4,202",70.90%,"$70,379","$284,408.3",48,"26,500",48,101,View More details about PayPal Holdings
135,Micron Technology,"$21,435",-8.40%,"$2,687",-57.40%,"$53,678","$98,678",-1,"40,000",-1,150,View More details about Micron Technology
136,CarMax,"$21,424.1",11.90%,$888.4,5.50%,"$21,082.2","$21,562.7",37,"27,050",37,370,View More details about CarMax
137,Salesforce,"$21,252",24.30%,"$4,072",3131.70%,"$66,301","$195,132.3",53,"56,606",53,45,View More details about Salesforce
138,Altria Group,"$20,841",5.30%,"$4,467",-,"$47,414","$95,090.6",29,"7,100",29,114,View More details about Altria Group
139,Lumen Technologies,"$20,712",-7.50%,"$-1,232",-,"$59,394","$14,642.9",4,"39,000",4,343,View More details about Lumen Technologies
140,Baker Hughes,"$20,705",-13.10%,"$-9,940",-7865.60%,"$38,007","$22,494.8",-11,"55,000",-11,180,View More details about Baker Hughes
141,International Paper,"$20,580",-8%,$482,-60.70%,"$31,718","$21,240.6",3,"49,300",3,328,View More details about International Paper
142,Hartford Insurance Group,"$20,523",-1%,"$1,737",-16.70%,"$74,111","$23,863.3",18,"18,500",18,195,View More details about Hartford Insurance Group
143,Penske Automotive Group,"$20,443.9",-11.80%,$543.6,24.70%,"$13,247.2","$6,485.5",-7,"23,600",-7,399,View More details about Penske Automotive Group
144,DuPont,"$20,397",-5.20%,"$-2,951",-692.60%,"$70,904","$41,308.1",8,"34,000",8,238,View More details about DuPont
145,AutoNation,"$20,390",-4.40%,$381.6,-15.20%,"$9,887.2","$7,683.2",9,"21,600",9,399,View More details about AutoNation
146,Southern,"$20,375",-4.90%,"$3,119",-34.20%,"$122,935","$65,678.9",7,"27,700",7,242,View More details about Southern
147,World Kinect,"$20,358.3",-44.70%,$109.6,-38.70%,"$4,500.3","$2,222",-56,"4,300",-56,399,View More details about World Kinect
148,D.R. Horton,"$20,311.1",15.50%,"$2,373.7",46.70%,"$18,912.3","$32,413.1",35,"9,716",35,399,View More details about D.R. Horton
149,Nucor,"$20,139.7",-10.80%,$721.5,-43.20%,"$20,125.4","$23,975.7",-10,"26,400",-10,399,View More details about Nucor
150,Cummins,"$19,811",-16%,"$1,789",-20.80%,"$22,624","$37,971.1",-18,"57,825",-18,211,View More details about Cummins
151,NGL Energy Partners,"$19,770.9",-17.90%,$-397,-210.30%,"$6,498.7",$263.5,-24,"1,400",-24,-,View More details about NGL Energy Partners
152,DXC Technology,"$19,577",-7.60%,"$-5,369",-527.10%,"$26,006","$7,958.6",3,"138,000",3,246,View More details about DXC Technology
153,Union Pacific,"$19,533",-10%,"$5,349",-9.60%,"$62,398","$146,948.3",-4,"30,960",-4,96,View More details about Union Pacific
154,Whirlpool,"$19,456",-4.70%,"$1,081",-8.70%,"$20,350","$13,831.7",8,"78,000",8,182,View More details about Whirlpool
155,Molina Healthcare,"$19,423",15.40%,$673,-8.70%,"$9,532","$13,647.3",38,"10,500",38,399,View More details about Molina Healthcare
156,ConocoPhillips,"$19,256",-47.50%,"$-2,701",-137.60%,"$62,618","$71,623.4",-63,"9,700",-63,169,View More details about ConocoPhillips
157,McDonald's,"$19,207.8",-8.90%,"$4,730.5",-21.50%,"$52,626.8","$167,112.5",-1,"200,000",-1,81,View More details about McDonald's
158,Kimberly-Clark,"$19,140",3.70%,"$2,352",9%,"$17,523","$46,999.8",17,"46,000",17,146,View More details about Kimberly-Clark
159,Paccar,"$18,728.5",-26.80%,"$1,298.4",-45.60%,"$28,260","$32,255.8",-41,"26,000",-41,399,View More details about Paccar
160,PG&E,"$18,469",7.80%,"$-1,318",-,"$97,856","$23,240.6",29,"24,000",29,61,View More details about PG&E
161,CDW,"$18,467.5",2.40%,$788.5,7%,"$9,344.7","$23,291.8",17,"10,000",17,307,View More details about CDW
162,Sherwin-Williams,"$18,361.7",2.60%,"$2,030.4",31.70%,"$20,401.6","$65,837.3",18,"61,031",18,163,View More details about Sherwin-Williams
163,L3Harris Technologies,"$18,194",41.50%,"$1,119",-16.10%,"$36,960","$41,664.1",87,"48,000",87,136,View More details about L3Harris Technologies
164,Macy's,"$18,097",-28.60%,"$-3,944",-799.30%,"$17,706","$5,028.1",-44,"75,711",-44,39,View More details about Macy's
165,ManpowerGroup,"$18,001",-13.70%,$23.8,-94.90%,"$9,328.2","$5,434.2",-7,"25,000",-7,86,View More details about ManpowerGroup
166,NextEra Energy,"$17,997",-6.30%,"$2,919",-22.60%,"$127,684","$148,304.9",6,"14,900",6,132,View More details about NextEra Energy
167,Tenet Healthcare,"$17,640",-4.50%,$399,-,"$27,106","$5,536.5",7,"97,900",7,315,View More details about Tenet Healthcare
168,Avnet,"$17,634.3",-9.70%,$-31.1,-117.60%,"$8,105.2","$4,128.4",1,"14,600",1,-,View More details about Avnet
169,General Mills,"$17,626.6",4.50%,"$2,181.2",24.40%,"$30,806.7","$37,403.4",23,"35,000",23,145,View More details about General Mills
170,WestRock,"$17,578.8",-3.90%,$-690.9,-180.10%,"$28,779.7","$13,716.1",7,"49,300",7,326,View More details about WestRock
171,Carrier Global,"$17,456",-,"$1,982",-,"$25,093","$36,701.1",-,"56,000",-,305,View More details about Carrier Global
172,Lincoln National,"$17,439",1%,$499,-43.70%,"$365,948","$11,953.2",16,"10,966",16,343,View More details about Lincoln National
173,Genuine Parts,"$17,384.4",-10.40%,$-29.1,-104.70%,"$13,440.2","$16,691.8",-2,"50,000",-2,274,View More details about Genuine Parts
174,American Airlines Group,"$17,337",-62.10%,"$-8,885",-627%,"$62,008","$15,328.8",-104,"102,700",-104,68,View More details about American Airlines Group
175,Marsh & McLennan,"$17,224",3.40%,"$2,016",15.70%,"$33,049","$62,054.9",20,"76,000",20,117,View More details about Marsh & McLennan
176,Applied Materials,"$17,202",17.80%,"$3,619",33.70%,"$22,353","$122,599.5",42,"24,000",42,82,View More details about Applied Materials
177,Becton Dickinson,"$17,117",-1%,$874,-29.10%,"$54,012","$70,649.7",10,"72,000",10,79,View More details about Becton Dickinson
178,Delta Air Lines,"$17,095",-63.60%,"$-12,385",-359.80%,"$71,996","$30,809.7",-110,"74,000",-110,228,View More details about Delta Air Lines
179,Lear,"$17,045.5",-14%,$158.5,-79%,"$13,198.6","$10,895.8",-13,"174,600",-13,214,View More details about Lear
180,Bank of New York (BNY),"$16,940",-18.60%,"$3,617",-18.60%,"$469,633","$41,471",-21,"48,500",-21,15,View More details about Bank of New York (BNY)
181,Emerson Electric,"$16,785",-8.60%,"$1,965",-14.80%,"$22,882","$54,134.7",-5,"83,500",-5,213,View More details about Emerson Electric
182,Western Digital,"$16,736",1%,$-250,-,"$25,662","$20,432",16,"63,800",16,204,View More details about Western Digital
183,Occidental Petroleum,"$16,680",-24.10%,"$-14,831",-,"$80,064","$24,848.7",-35,"11,800",-35,279,View More details about Occidental Petroleum
184,Nvidia,"$16,675",52.70%,"$4,332",54.90%,"$28,791","$331,036.6",108,"18,975",108,52,View More details about Nvidia
185,Cognizant Technology Solutions,"$16,652",-0.80%,"$1,392",-24.40%,"$16,923","$41,451.6",9,"289,500",9,183,View More details about Cognizant Technology Solutions
186,Jones Lang LaSalle,"$16,589.9",-7.70%,$402.5,-24.80%,"$14,316.5","$9,150.9",-7,"90,800",-7,103,View More details about Jones Lang LaSalle
187,Synchrony,"$16,472",-15.40%,"$1,385",-63%,"$95,948","$23,740.6",-17,"16,500",-17,264,View More details about Synchrony
188,Colgate-Palmolive,"$16,471",5%,"$2,695",13.90%,"$15,920","$66,810.3",15,"34,200",15,153,View More details about Colgate-Palmolive
189,AECOM,"$16,390.8",-18.80%,$-186.4,-,"$12,999","$9,469.8",-26,"54,000",-26,241,View More details about AECOM
190,XPO,"$16,252",-2.40%,$110,-73.70%,"$16,169","$12,601.7",6,"119,750",6,377,View More details about XPO
191,C.H. Robinson Worldwide,"$16,207.1",5.90%,$506.4,-12.20%,"$5,144.3","$12,514.9",17,"14,888",17,209,View More details about C.H. Robinson Worldwide
192,BlackRock,"$16,205",11.50%,"$4,932",10.20%,"$176,982","$115,079.8",27,"16,500",27,22,View More details about BlackRock
193,Dominion Energy,"$16,128",-2.70%,$-401,-129.50%,"$95,905","$61,224",4,"17,300",4,232,View More details about Dominion Energy
194,Rocket Companies,"$15,980.7",204.30%,$198,-,"$37,534.6","$45,821",-,"24,000",-,272,View More details about Rocket Companies
195,Kohl's,"$15,955",-20.10%,$-163,-123.60%,"$15,337","$9,394.1",-30,"73,000",-30,256,View More details about Kohl's
196,Fluor,"$15,884.2",-9.60%,$-435,-,"$7,309.8","$3,252.4",-15,"43,717",-15,384,View More details about Fluor
197,DISH Network,"$15,493.4",21%,"$1,762.7",25.90%,"$38,239.9","$19,048.2",54,"13,500",54,385,View More details about DISH Network
198,BJ's Wholesale Club,"$15,430",17%,$421,124.90%,"$5,411.5","$6,156.5",45,"32,000",45,399,View More details about BJ's Wholesale Club
199,Tenneco,"$15,379",-11.90%,"$-1,521",-,"$11,852",$875.7,-14,"73,000",-14,276,View More details about Tenneco
200,United Airlines Holdings,"$15,355",-64.50%,"$-7,069",-334.90%,"$59,548","$18,325.1",-124,"74,400",-124,386,View More details about United Airlines Holdings
201,Mastercard,"$15,301",-9.40%,"$6,411",-21%,"$33,584","$353,686.7",-10,"21,000",-10,32,View More details about Mastercard
202,Waste Management,"$15,218",-1.50%,"$1,496",-10.40%,"$29,345","$54,451.7",5,"48,250",5,83,View More details about Waste Management
203,PBF Energy,"$15,115.9",-38.30%,"$-1,392.4",-535.90%,"$10,499.8","$1,699.5",-78,"3,729",-78,399,View More details about PBF Energy
204,American Electric Power,"$14,918.5",-4.10%,"$2,200.1",14.50%,"$80,757.2","$42,067.3",-,"16,787",-,122,View More details about American Electric Power
