rank,company,revenues,revenue_percent_change,profits,profits_percent_change,assets,market_value,change_in_rank_1000,employees,change_in_rank_500,link
1,Walmart,"$611,289",6.70%,"$11,680",-14.60%,"$243,197","$397,474.5",-,"2,100,000",-,View More details about Walmart
2,Amazon,"$513,983",9.40%,"$-2,722",-108.20%,"$462,675","$1,058,439.5",-,"1,541,000",-,View More details about Amazon
3,ExxonMobil Holdings,"$413,680",44.80%,"$55,740",141.90%,"$369,067","$446,424.2",3,"62,000",3,View More details about ExxonMobil Holdings
4,Apple,"$394,328",7.80%,"$99,803",5.40%,"$352,755","$2,609,038.9",-1,"164,000",-1,View More details about Apple
5,UnitedHealth Group,"$324,162",12.70%,"$20,120",16.40%,"$245,705","$440,854",-,"400,000",-,View More details about UnitedHealth Group
6,CVS Health,"$322,467",10.40%,"$4,149",-47.50%,"$228,275","$95,422.3",-2,"259,500",-2,View More details about CVS Health
7,Berkshire Hathaway,"$302,089",9.40%,"$-22,819",-125.40%,"$948,452","$675,656.8",-,"383,000",-,View More details about Berkshire Hathaway
8,Alphabet,"$282,836",9.80%,"$59,972",-21.10%,"$365,264","$1,330,200.7",-,"190,234",-,View More details about Alphabet
9,McKesson,"$263,966",10.80%,"$1,114",-,"$63,298","$48,757.2",-,"66,500",-,View More details about McKesson
10,Chevron,"$246,252",51.60%,"$35,465",127%,"$257,709","$311,092.9",6,"43,846",6,View More details about Chevron
11,Cencora,"$238,587",11.50%,"$1,698.8",10.30%,"$56,560.6","$32,383.6",-1,"41,500",-1,View More details about Cencora
12,Costco Wholesale,"$226,954",15.80%,"$5,844",16.70%,"$64,166","$220,353.5",-1,"304,000",-1,View More details about Costco Wholesale
13,Microsoft,"$198,270",18%,"$72,738",18.70%,"$364,840","$2,146,048.6",1,"221,000",1,View More details about Microsoft
14,Cardinal Health,"$181,364",11.60%,$-933,-252.70%,"$43,878","$19,451.7",1,"46,035",1,View More details about Cardinal Health
15,Cigna Group,"$180,516",3.70%,"$6,668",24.30%,"$143,932","$75,900.7",-3,"70,231",-3,View More details about Cigna Group
16,Marathon Petroleum,"$180,012",27.60%,"$14,516",49.10%,"$89,904","$59,544.4",3,"17,800",3,View More details about Marathon Petroleum
