rank,company,revenues,revenue_percent_change,profits,profits_percent_change,assets,market_value,change_in_rank_1000,employees,change_in_rank_500,link
17,Phillips 66,"$175,702",53%,"$11,024",737.10%,"$76,442","$46,727.3",12,"13,000",12,View More details about Phillips 66
18,Valero Energy,"$171,189",58%,"$11,528",1139.60%,"$60,982","$51,350.5",12,"9,743",12,View More details about Valero Energy
19,Ford Motor,"$158,057",15.90%,"$-1,981",-111%,"$255,884","$50,399.5",3,"173,000",3,View More details about Ford Motor
20,Home Depot,"$157,403",4.10%,"$17,105",4.10%,"$76,445","$299,533.7",-3,"471,600",-3,View More details about Home Depot
21,General Motors,"$156,735",23.40%,"$9,934",-0.80%,"$264,037","$51,155.3",4,"167,000",4,View More details about General Motors
22,Elevance Health,"$156,595",13%,"$6,025",-1.30%,"$102,772","$109,097.7",-2,"102,300",-2,View More details about Elevance Health
23,JPMorgan Chase,"$154,792",21.70%,"$37,676",-22.10%,"$3,665,743","$383,548.6",1,"293,723",1,View More details about JPMorgan Chase
24,Kroger,"$148,258",7.50%,"$2,244",35.60%,"$49,623","$35,421.4",-3,"430,000",-3,View More details about Kroger
25,Centene,"$144,547",14.70%,"$1,202",-10.80%,"$76,870","$34,809.8",1,"74,300",1,View More details about Centene
26,Verizon Communications,"$136,835",2.40%,"$21,256",-3.70%,"$379,680","$163,333.4",-3,"117,100",-3,View More details about Verizon Communications
27,Walgreens Boots Alliance,"$132,703",-10.70%,"$4,337",70.60%,"$90,124","$29,835.5",-9,"262,500",-9,View More details about Walgreens Boots Alliance
28,Fannie Mae,"$121,596",19.70%,"$12,923",-41.70%,"$4,305,288",$474.8,5,"8,000",5,View More details about Fannie Mae
29,Comcast,"$121,427",4.30%,"$5,370",-62.10%,"$257,275","$159,830.7",-1,"186,000",-1,View More details about Comcast
30,AT&T,"$120,741",-28.50%,"$-8,524",-142.40%,"$402,853","$137,250",-17,"160,700",-17,View More details about AT&T
31,Meta Platforms,"$116,609",-1.10%,"$23,200",-41.10%,"$185,727","$549,484",-4,"86,482",-4,View More details about Meta Platforms
32,Bank of America,"$115,053",22.60%,"$27,528",-13.90%,"$3,051,375","$228,779.5",4,"216,823",4,View More details about Bank of America
33,Target,"$109,120",2.90%,"$2,780",-60%,"$53,335","$76,250.1",-1,"440,000",-1,View More details about Target
34,Dell Technologies,"$102,301",-4.40%,"$2,442",-56.10%,"$89,611","$29,401.7",-3,"133,000",-3,View More details about Dell Technologies
35,Archer Daniels Midland,"$101,556",19.10%,"$4,340",60.20%,"$59,774","$43,529.8",3,"41,181",3,View More details about Archer Daniels Midland
36,Citigroup,"$101,078",26.60%,"$14,845",-32.40%,"$2,416,676","$91,269.7",8,"238,104",8,View More details about Citigroup
37,UPS,"$100,338",3.10%,"$11,548",-10.40%,"$71,124","$166,189.1",-3,"404,700",-3,View More details about UPS
38,Pfizer,"$100,330",23.40%,"$31,372",42.70%,"$197,205","$230,291.6",5,"83,000",5,View More details about Pfizer
39,Lowe's,"$97,059",0.80%,"$6,437",-23.80%,"$43,708","$119,253.4",-4,"244,500",-4,View More details about Lowe's
40,Johnson & Johnson,"$94,943",1.20%,"$17,941",-14.10%,"$187,378","$483,575.6",-3,"152,700",-3,View More details about Johnson & Johnson
41,FedEx,"$93,512",11.40%,"$3,826",-26.90%,"$85,994","$57,431.4",-2,"464,400",-2,View More details about FedEx
42,Humana,"$92,870",11.80%,"$2,806",-4.30%,"$43,055","$60,718.7",-2,"67,100",-2,View More details about Humana
43,Energy Transfer,"$89,876",33.30%,"$4,756",-13.10%,"$105,643","$38,589.6",11,"12,565",11,View More details about Energy Transfer
44,State Farm Insurance,"$89,327.5",8.60%,"$-6,654.2",-619.50%,"$318,243",-,-2,"60,519",-2,View More details about State Farm Insurance
45,Freddie Mac,"$86,717",31.60%,"$9,327",-23%,"$3,208,333",$265.5,11,"7,819",11,View More details about Freddie Mac
46,PepsiCo,"$86,392",8.70%,"$8,910",17%,"$92,187","$251,084.5",-1,"315,000",-1,View More details about PepsiCo
47,Wells Fargo,"$82,859",0.50%,"$13,182",-38.80%,"$1,881,016","$141,187.5",-6,"238,000",-6,View More details about Wells Fargo
48,Walt Disney,"$82,722",22.70%,"$3,145",57.60%,"$203,631","$182,920",5,"195,800",5,View More details about Walt Disney
49,ConocoPhillips,"$82,156",69.90%,"$18,680",131.20%,"$93,829","$120,776.6",28,"9,500",28,View More details about ConocoPhillips
50,Tesla,"$81,462",51.40%,"$12,556",127.50%,"$82,338","$656,424.7",15,"127,855",15,View More details about Tesla
51,Procter & Gamble,"$80,187",5.30%,"$14,742",3%,"$117,208","$350,781.1",-4,"106,000",-4,View More details about Procter & Gamble
52,GE Aerospace,"$76,555",3.20%,$225,-,"$187,788","$104,231",-4,"172,000",-4,View More details about GE Aerospace
53,Albertsons,"$71,887",3.20%,"$1,619.6",90.50%,"$28,123","$11,132.2",-1,"195,750",-1,View More details about Albertsons
54,MetLife,"$69,898",-1.70%,"$2,539",-61.30%,"$666,611","$44,866.5",-4,"45,000",-4,View More details about MetLife
55,Goldman Sachs Group,"$68,711",5.70%,"$11,261",-48%,"$1,441,799","$113,963.9",2,"48,500",2,View More details about Goldman Sachs Group
56,Sysco,"$68,636.1",33.80%,"$1,358.8",159.20%,"$22,085.7","$39,202.3",14,"70,510",14,View More details about Sysco
57,RTX,"$67,074",4.20%,"$5,197",34.50%,"$158,864","$143,292",1,"182,000",1,View More details about RTX
58,Boeing,"$66,608",6.90%,"$-4,935",-,"$137,100","$127,283.2",2,"156,000",2,View More details about Boeing
59,StoneX Group,"$66,036",55.30%,$207.1,78.10%,"$19,859.6","$2,137.8",28,"3,615",28,View More details about StoneX Group
60,Lockheed Martin,"$65,984",-1.60%,"$5,732",-9.20%,"$52,880","$120,318.7",-5,"116,000",-5,View More details about Lockheed Martin
61,Morgan Stanley,"$65,936",7.90%,"$11,029",-26.60%,"$1,180,231","$147,674.3",-,"82,427",-,View More details about Morgan Stanley
62,Intel,"$63,054",-20.20%,"$8,014",-59.70%,"$182,103","$136,268.3",-16,"131,900",-16,View More details about Intel
63,HP,"$62,983",-0.80%,"$3,203",-50.70%,"$38,587","$28,919.4",-4,"58,000",-4,View More details about HP
64,TD Synnex,"$62,343.8",97.20%,$651.3,64.90%,"$29,734","$9,060.9",45,"28,500",45,View More details about TD Synnex
65,IBM,"$60,530",-16.30%,"$1,639",-71.50%,"$127,243","$118,912.5",-16,"303,100",-16,View More details about IBM
66,HCA Healthcare,"$60,233",2.50%,"$5,643",-18.90%,"$52,438","$73,106.5",-4,"250,500",-4,View More details about HCA Healthcare
67,Prudential Financial,"$60,050",-15.30%,"$-1,438",-118.60%,"$689,917","$30,363.4",-16,"39,583",-16,View More details about Prudential Financial
68,Caterpillar,"$59,427",16.60%,"$6,705",3.30%,"$81,943","$118,160.5",5,"109,100",5,View More details about Caterpillar
69,Merck,"$59,283",15.80%,"$14,519",11.30%,"$109,160","$270,080.9",2,"68,000",2,View More details about Merck
70,World Kinect,"$59,043.1",88.40%,$114.1,54.80%,"$8,164.6","$1,585.2",41,"5,214",41,View More details about World Kinect
71,New York Life Insurance,"$58,445.2",14.20%,"$-1,126.7",-506.60%,"$392,126.4",-,1,"15,050",1,View More details about New York Life Insurance
72,Enterprise Products Partners,"$58,186",42.60%,"$5,490",18.40%,"$68,108","$56,223.9",17,"7,300",17,View More details about Enterprise Products Partners
73,AbbVie,"$58,054",3.30%,"$11,836",2.50%,"$138,805","$281,151.3",-10,"50,000",-10,View More details about AbbVie
74,Plains GP Holdings,"$57,342",36.30%,$168,180%,"$29,207","$2,550.6",14,"4,100",14,View More details about Plains GP Holdings
75,Dow,"$56,902",3.50%,"$4,582",-27.40%,"$60,603","$38,811.9",-11,"37,800",-11,View More details about Dow
76,AIG,"$56,437",8.40%,"$10,276",9.50%,"$526,634","$36,947.5",-9,"26,200",-9,View More details about AIG
77,American Express,"$55,625",27.40%,"$7,514",-6.80%,"$228,354","$122,733.7",8,"77,300",8,View More details about American Express
78,Publix Super Markets,"$54,942",13.50%,"$2,918",-33.90%,"$31,047",-,-2,"242,000",-2,View More details about Publix Super Markets
79,Charter Communications,"$54,022",4.50%,"$5,055",8.60%,"$144,523","$60,477.4",-10,"101,700",-10,View More details about Charter Communications
80,Tyson Foods,"$53,282",13.20%,"$3,238",6.30%,"$36,821","$21,095.7",1,"142,000",1,View More details about Tyson Foods
81,Deere,"$52,577",19.40%,"$7,131",19.60%,"$90,030","$122,345.5",3,"82,239",3,View More details about Deere
82,Cisco Systems,"$51,557",3.50%,"$11,812",11.50%,"$94,002","$214,109.2",-8,"83,300",-8,View More details about Cisco Systems
83,Nationwide,"$51,449.8",8.60%,$988.4,-38.90%,"$264,510.6",-,-3,"24,791",-3,View More details about Nationwide
84,Allstate,"$51,412",-3.40%,"$-1,311",-182%,"$97,957","$29,179.6",-18,"54,250",-18,View More details about Allstate
85,Delta Air Lines,"$50,582",69.20%,"$1,318",370.70%,"$72,288","$22,392.1",28,"95,000",28,View More details about Delta Air Lines
86,Liberty Mutual Insurance Group,"$49,956",3.60%,$414,-86.50%,"$160,316",-,-8,"50,000",-8,View More details about Liberty Mutual Insurance Group
87,TJX,"$49,936",2.90%,"$3,498",6.60%,"$28,349","$90,315.3",-12,"329,000",-12,View More details about TJX
88,Progressive,"$49,610.7",4%,$721.5,-78.50%,"$75,465","$83,742.5",-9,"55,063",-9,View More details about Progressive
89,American Airlines Group,"$48,971",63.90%,$127,-,"$64,716","$9,629",25,"129,700",25,View More details about American Airlines Group
90,CHS,"$47,791.7",24.30%,"$1,678.8",203.10%,"$18,824.8",-,5,"10,014",5,View More details about CHS
91,Performance Food Group,"$47,194.1",61.60%,$112.5,176.40%,"$12,378","$9,421.5",21,"34,825",21,View More details about Performance Food Group
92,PBF Energy,"$46,830.3",71.80%,"$2,876.8",1145.40%,"$13,549.1","$5,588.8",38,"3,616",38,View More details about PBF Energy
93,Nike,"$46,710",4.90%,"$6,046",5.60%,"$40,321","$190,161",-10,"79,100",-10,View More details about Nike
94,Best Buy,"$46,298",-10.60%,"$1,419",-42.20%,"$15,803","$17,066.4",-26,"71,100",-26,View More details about Best Buy
95,Bristol-Myers Squibb,"$46,159",-0.50%,"$6,327",-9.50%,"$96,820","$145,780",-13,"34,300",-13,View More details about Bristol-Myers Squibb
96,United Airlines Holdings,"$44,955",82.50%,$737,-,"$67,358","$14,473.9",50,"92,795",50,View More details about United Airlines Holdings
97,Thermo Fisher Scientific,"$44,915",14.50%,"$6,950",-10%,"$97,154","$222,150.3",-5,"130,000",-5,View More details about Thermo Fisher Scientific
98,Qualcomm,"$44,200",31.70%,"$12,936",43%,"$49,014","$142,251.7",9,"51,000",9,View More details about Qualcomm
99,Abbott Laboratories,"$43,653",1.30%,"$6,933",-2%,"$74,438","$175,984.4",-13,"115,000",-13,View More details about Abbott Laboratories
100,Coca-Cola,"$43,004",11.30%,"$9,542",-2.30%,"$92,763","$268,360.7",-7,"82,500",-7,View More details about Coca-Cola
101,Oracle,"$42,440",4.80%,"$6,717",-51.10%,"$109,297","$250,865.6",-10,"143,000",-10,View More details about Oracle
102,Nucor,"$41,512.5",13.80%,"$7,607.3",11.40%,"$32,479.2","$38,916.9",-4,"31,400",-4,View More details about Nucor
103,TIAA,"$40,910.6",0.90%,$493.7,-87.80%,"$634,457.3",-,-13,"16,070",-13,View More details about TIAA
104,Massachusetts Mutual Life,"$40,281",12.20%,"$1,484.5",365%,"$381,335.7",-,-4,"10,662",-4,View More details about Massachusetts Mutual Life
105,General Dynamics,"$39,407",2.40%,"$3,390",4.10%,"$51,585","$62,692.4",-11,"106,500",-11,View More details about General Dynamics
106,Capital One Financial,"$38,373",19.80%,"$7,360",-40.60%,"$455,249","$36,775.9",2,"55,943",2,View More details about Capital One Financial
107,HF Sinclair,"$38,204.8",107.80%,"$2,922.7",423.50%,"$18,125.5","$9,491.5",90,"5,223",90,View More details about HF Sinclair
108,Dollar General,"$37,844.9",10.60%,"$2,416",0.70%,"$29,083.4","$46,113.6",-2,"170,000",-2,View More details about Dollar General
109,Arrow Electronics,"$37,124.4",7.70%,"$1,426.9",28.80%,"$21,763.2","$7,278",-5,"22,300",-5,View More details about Arrow Electronics
110,Occidental Petroleum,"$37,095",38.60%,"$13,304",473%,"$72,609","$56,069.3",25,"11,973",25,View More details about Occidental Petroleum
111,Northwestern Mutual,"$36,920.5",0.50%,$911.9,-6.70%,"$340,390.2",-,-14,"8,323",-14,View More details about Northwestern Mutual
112,Travelers,"$36,884",5.90%,"$2,842",-22.40%,"$115,717","$39,783.3",-9,"32,175",-9,View More details about Travelers
113,Northrop Grumman,"$36,602",2.60%,"$4,896",-30.10%,"$43,755","$70,203.2",-12,"95,000",-12,View More details about Northrop Grumman
114,USAA,"$36,297.2",-3.10%,"$-1,295.6",-139.30%,"$204,005.1",-,-18,"36,820",-18,View More details about USAA
115,Honeywell International,"$35,466",3.10%,"$4,966",-10.40%,"$62,275","$127,695",-10,"97,000",-10,View More details about Honeywell International
116,3M,"$34,229",-3.20%,"$5,777",-2.40%,"$46,455","$57,964.9",-14,"92,000",-14,View More details about 3M
117,US Foods Holding,"$34,057",15.50%,$265,61.60%,"$12,773","$8,568.2",-,"29,000",-,View More details about US Foods Holding
118,Warner Bros. Discovery,"$33,817",177.40%,"$-7,371",-832.70%,"$134,001","$36,777.6",192,"37,500",192,View More details about Warner Bros. Discovery
119,Lennar,"$33,671",24.10%,"$4,614.1",4.20%,"$37,984.3","$29,725.7",12,"12,012",12,View More details about Lennar
120,D.R. Horton,"$33,480",20.50%,"$5,857.5",40.30%,"$30,351.1","$33,546.1",4,"13,237",4,View More details about D.R. Horton
121,Jabil,"$33,478",14.30%,$996,43.10%,"$19,717","$11,749.5",-2,"250,000",-2,View More details about Jabil
122,Cheniere Energy,"$33,428",110.70%,"$1,428",-,"$41,266","$38,407.7",111,"1,551",111,View More details about Cheniere Energy
123,Broadcom,"$33,203",21%,"$11,495",70.70%,"$73,249","$267,473.2",5,"20,000",5,View More details about Broadcom
124,CarMax,"$33,197.2",65.20%,"$1,151.3",54.10%,"$26,338.3","$10,157.8",50,"32,647",50,View More details about CarMax
125,Starbucks,"$32,250.3",11%,"$3,281.6",-21.90%,"$27,978.4","$119,676.6",-5,"402,000",-5,View More details about Starbucks
126,Molina Healthcare,"$31,974",15.10%,$792,20.20%,"$12,314","$15,586.3",-1,"15,000",-1,View More details about Molina Healthcare
127,Uber Technologies,"$31,877",82.60%,"$-9,141",-,"$32,109","$63,839.7",83,"32,800",83,View More details about Uber Technologies
128,Philip Morris International,"$31,762",1.10%,"$9,048",-0.70%,"$61,681","$150,946.4",-18,"79,800",-18,View More details about Philip Morris International
129,Netflix,"$31,615.6",6.50%,"$4,491.9",-12.20%,"$48,594.8","$153,858.4",-14,"12,800",-14,View More details about Netflix
130,NRG Energy,"$31,543",16.90%,"$1,221",-44.20%,"$29,146","$7,964.5",3,"6,603",3,View More details about NRG Energy
131,Mondelez International,"$31,496",9.70%,"$2,717",-36.80%,"$71,161","$95,049.8",-10,"91,000",-10,View More details about Mondelez International
132,Danaher,"$31,471",6.90%,"$7,209",12.10%,"$84,350","$183,764.1",-14,"80,000",-14,View More details about Danaher
133,Salesforce,"$31,352",18.30%,$208,-85.60%,"$98,849","$199,780",3,"79,390",3,View More details about Salesforce
134,Paramount Skydance,"$31,331",5.90%,"$1,104",-75.70%,"$58,393","$14,656.7",-18,"27,400",-18,View More details about Paramount Skydance
135,CBRE Group,"$30,828.2",11.10%,"$1,407.4",-23.40%,"$20,513.4","$22,563.2",-9,"115,000",-9,View More details about CBRE Group
136,Micron Technology,"$30,758",11%,"$8,687",48.20%,"$66,283","$66,035.8",-9,"48,000",-9,View More details about Micron Technology
137,Visa,"$29,310",21.60%,"$14,957",21.50%,"$85,501","$475,307.1",10,"26,500",10,View More details about Visa
138,Southern,"$29,279",26.70%,"$3,524",47.30%,"$134,891","$75,947.6",15,"27,562",15,View More details about Southern
139,United Natural Foods,"$28,928",7.20%,$248,66.40%,"$7,628","$1,565.1",-7,"30,300",-7,View More details about United Natural Foods
140,Paccar,"$28,819.7",22.50%,"$3,011.6",62.60%,"$33,275.5","$38,251",11,"31,100",11,View More details about Paccar
141,Duke Energy,"$28,784",16.60%,"$2,550",-34.70%,"$178,086","$74,344.4",4,"27,859",4,View More details about Duke Energy
142,Eli Lilly,"$28,541.4",0.80%,"$6,244.8",11.90%,"$49,489.8","$326,350.7",-20,"39,000",-20,View More details about Eli Lilly
143,Hewlett Packard Enterprise,"$28,496",2.60%,$868,-74.70%,"$57,123","$20,643.2",-20,"60,200",-20,View More details about Hewlett Packard Enterprise
144,Dollar Tree,"$28,331.7",7.60%,"$1,615.4",21.70%,"$23,022.1","$31,757.2",-7,"136,287",-7,View More details about Dollar Tree
145,Lithia Motors,"$28,187.8",23.50%,"$1,251",18%,"$15,006.6","$6,337.1",13,"21,875",13,View More details about Lithia Motors
146,Cummins,"$28,074",16.90%,"$2,151",0.90%,"$30,299","$33,811",3,"73,600",3,View More details about Cummins
147,Penske Automotive Group,"$27,814.8",8.80%,"$1,380",16.20%,"$14,114.6","$9,794.7",-5,"26,816",-5,View More details about Penske Automotive Group
148,PayPal Holdings,"$27,518",8.50%,"$2,419",-42%,"$78,717","$85,916.5",-5,"29,900",-5,View More details about PayPal Holdings
149,U.S. Bancorp,"$27,401",15.50%,"$5,825",-26.80%,"$674,805","$55,221",1,"76,646",1,View More details about U.S. Bancorp
150,Gilead Sciences,"$27,281",-0.10%,"$4,592",-26.20%,"$63,171","$103,614.3",-21,"17,000",-21,View More details about Gilead Sciences
151,AutoNation,"$26,985",4.40%,"$1,377.4",0.30%,"$10,059.7","$6,301.4",-10,"23,600",-10,View More details about AutoNation
152,Nvidia,"$26,974",0.20%,"$4,368",-55.20%,"$41,182","$686,091.9",-18,"26,196",-18,View More details about Nvidia
153,Kraft Heinz,"$26,485",1.70%,"$2,363",133.50%,"$90,513","$47,448",-14,"37,000",-14,View More details about Kraft Heinz
154,Amgen,"$26,323",1.30%,"$6,552",11.20%,"$65,121","$129,088.8",-14,"25,200",-14,View More details about Amgen
155,Applied Materials,"$25,785",11.80%,"$6,525",10.80%,"$26,726","$103,805.9",1,"33,000",1,View More details about Applied Materials
156,EOG Resources,"$25,702",37.90%,"$7,759",66.40%,"$41,371","$67,370.8",37,"2,850",37,View More details about EOG Resources
157,Truist Financial,"$25,356",9.90%,"$6,260",-2.80%,"$555,255","$45,289.6",-2,"53,987",-2,View More details about Truist Financial
158,Macy's,"$25,305",0.10%,"$1,177",-17.70%,"$16,866","$4,746.7",-14,"94,570",-14,View More details about Macy's
159,Union Pacific,"$24,875",14.10%,"$6,998",7.30%,"$65,449","$123,145.6",4,"33,179",4,View More details about Union Pacific
160,C.H. Robinson Worldwide,"$24,696.6",6.90%,$940.5,11.40%,"$5,954.6","$11,416.5",-6,"17,399",-6,View More details about C.H. Robinson Worldwide
161,Rite Aid,"$24,568.3",2.20%,$-538.5,-,"$8,529",$126.6,-13,"53,000",-13,View More details about Rite Aid
162,Constellation Energy,"$24,440",-,$-160,-,"$46,909","$25,711.6",-,"13,370",-,View More details about Constellation Energy
163,Avnet,"$24,310.7",24.40%,$692.4,258.50%,"$10,388.5","$4,130.4",17,"15,300",17,View More details about Avnet
164,Pioneer Natural Resources,"$24,294",65.90%,"$7,845",270.40%,"$35,740","$47,997.2",84,"2,076",84,View More details about Pioneer Natural Resources
165,Southwest Airlines,"$23,814",50.80%,$539,-44.80%,"$35,369","$19,338.1",69,"66,656",69,View More details about Southwest Airlines
166,CDW,"$23,748.7",14.10%,"$1,114.5",12.70%,"$13,131.5","$26,336.7",-,"15,100",-,View More details about CDW
167,Advanced Micro Devices,"$23,601",43.60%,"$1,320",-58.30%,"$67,580","$157,737.9",59,"25,000",59,View More details about Advanced Micro Devices
168,PNC Financial Services Group,"$23,542",19.50%,"$6,041",6.50%,"$557,263","$50,799.6",10,"60,720",10,View More details about PNC Financial Services Group
169,McDonald's,"$23,182.6",-0.20%,"$6,177.4",-18.10%,"$50,435.6","$204,533.9",-17,"150,000",-17,View More details about McDonald's
170,Cleveland-Cliffs,"$22,989",12.40%,"$1,335",-55.30%,"$18,755","$9,436.1",1,"27,000",1,View More details about Cleveland-Cliffs
171,Freeport-McMoRan,"$22,780",-0.30%,"$3,468",-19.50%,"$51,093","$58,529.7",-14,"25,600",-14,View More details about Freeport-McMoRan
172,Builders FirstSource,"$22,726.4",14.20%,"$2,749.4",59.30%,"$10,595.2","$12,252.7",4,"29,000",4,View More details about Builders FirstSource
173,Oneok,"$22,386.9",35.30%,"$1,722.2",14.80%,"$24,379.1","$28,416.4",51,"2,966",51,View More details about Oneok
174,Hartford Insurance Group,"$22,362",-0.10%,"$1,815",-23.30%,"$73,022","$21,816.9",-14,"18,800",-14,View More details about Hartford Insurance Group
175,Charles Schwab,"$22,307",17.40%,"$7,183",22.70%,"$551,772","$95,264.1",13,"35,300",13,View More details about Charles Schwab
176,Steel Dynamics,"$22,260.8",20.90%,"$3,862.7",20.20%,"$14,160","$19,286.4",20,"12,060",20,View More details about Steel Dynamics
177,Mastercard,"$22,237",17.80%,"$9,930",14.30%,"$38,724","$346,417.9",13,"29,900",13,View More details about Mastercard
178,Sherwin-Williams,"$22,148.9",11.10%,"$2,020.1",8.40%,"$22,594","$58,090.1",-3,"64,366",-3,View More details about Sherwin-Williams
179,Genuine Parts,"$22,096",17.10%,"$1,182.7",31.60%,"$16,495.4","$23,558.7",12,"58,000",12,View More details about Genuine Parts
180,PG&E,"$21,680",5%,"$1,800",-,"$118,644","$32,153.5",-12,"26,010",-12,View More details about PG&E
181,WESCO International,"$21,420.1",17.60%,$860.5,84.90%,"$14,811.7","$7,896.9",19,"20,000",19,View More details about WESCO International
182,Murphy USA,"$21,265.9",38.80%,$672.9,69.50%,"$4,123.2","$5,620.9",58,"10,550",58,View More details about Murphy USA
183,WestRock,"$21,256.5",13.40%,$944.6,12.70%,"$28,405.5","$7,759.2",9,"50,500",9,View More details about WestRock
184,International Paper,"$21,161",-2.80%,"$1,504",-14.20%,"$23,940","$12,598.1",-20,"39,000",-20,View More details about International Paper
185,Baker Hughes,"$21,156",3.20%,$-601,-,"$34,181","$29,385.8",-15,"55,000",-15,View More details about Baker Hughes
186,United States Steel,"$21,065",3.90%,"$2,524",-39.50%,"$19,458","$5,929.8",-14,"22,740",-14,View More details about United States Steel
187,NextEra Energy,"$20,956",22.80%,"$4,147",16.10%,"$158,935","$153,196.1",28,"15,300",28,View More details about NextEra Energy
188,Targa Resources,"$20,929.8",23.50%,"$1,195.5",1579.10%,"$19,560","$16,506.8",28,"2,850",28,View More details about Targa Resources
189,Lear,"$20,891.5",8.50%,$327.7,-12.40%,"$13,763","$8,248.1",-3,"168,700",-3,View More details about Lear
190,Jones Lang LaSalle,"$20,862.1",7.70%,$654.5,-31.90%,"$15,593.7","$6,925.6",-5,"103,300",-5,View More details about Jones Lang LaSalle
191,Goodyear Tire & Rubber,"$20,805",19%,$202,-73.60%,"$22,431","$3,121.6",18,"74,000",18,View More details about Goodyear Tire & Rubber
192,Marriott International,"$20,773",49.90%,"$2,358",114.60%,"$24,815","$51,287",78,"140,000",78,View More details about Marriott International
193,Marsh & McLennan,"$20,720",4.50%,"$3,050",-3%,"$33,454","$82,370.9",-16,"85,000",-16,View More details about Marsh & McLennan
194,Altria Group,"$20,688",-2%,"$5,764",132.90%,"$36,954","$79,671.9",-29,"6,300",-29,View More details about Altria Group
195,Coupang,"$20,582.6",11.80%,$-92,-,"$9,512.9","$28,387.9",-,"63,000",-,View More details about Coupang
196,Carrier Global,"$20,421",-0.90%,"$3,534",112.40%,"$26,086","$38,199",-27,"52,000",-27,View More details about Carrier Global
197,Halliburton,"$20,297",32.70%,"$1,572",7.90%,"$23,255","$28,605.1",44,"45,000",44,View More details about Halliburton
198,Delek US Holdings,"$20,245.8",90.10%,$257.1,-,"$8,192.8","$1,537.5",148,"3,746",148,View More details about Delek US Holdings
199,Kimberly-Clark,"$20,175",3.80%,"$1,934",6.60%,"$17,970","$45,293",-17,"44,000",-17,View More details about Kimberly-Clark
200,Texas Instruments,"$20,028",9.20%,"$8,749",12.60%,"$27,207","$168,774.7",-2,"33,000",-2,View More details about Texas Instruments
201,Bank of New York (BNY),"$19,991",23.70%,"$2,573",-31.60%,"$405,783","$36,735.7",28,"51,700",28,View More details about Bank of New York (BNY)
202,ManpowerGroup,"$19,827.5",-4.30%,$373.8,-2.20%,"$9,130.4","$4,191.3",-35,"30,900",-35,View More details about ManpowerGroup
203,Whirlpool,"$19,724",-10.30%,"$-1,519",-185.20%,"$17,124","$7,196.5",-41,"61,000",-41,View More details about Whirlpool
204,Waste Management,"$19,698",9.90%,"$2,238",23.20%,"$31,367","$66,372.2",-1,"49,500",-1,View More details about Waste Management
205,American Electric Power,"$19,639.5",17%,"$2,307.2",-7.30%,"$93,469.4","$46,805.9",14,"16,974",14,View More details about American Electric Power
206,Emerson Electric,"$19,629",7.60%,"$3,231",40.30%,"$35,672","$49,791.8",-7,"85,500",-7,View More details about Emerson Electric
207,Aflac,"$19,502",-11.80%,"$4,201",-2.90%,"$131,017","$39,467.4",-46,"12,882",-46,View More details about Aflac
208,Cognizant Technology Solutions,"$19,428",5%,"$2,290",7.20%,"$17,852","$31,031.3",-14,"355,300",-14,View More details about Cognizant Technology Solutions
209,Becton Dickinson,"$19,408",-4.10%,"$1,779",-15%,"$52,934","$70,277",-36,"77,000",-36,View More details about Becton Dickinson
