rank,company,revenues,revenue_percent_change,profits,profits_percent_change,assets,market_value,change_in_rank_1000,employees,change_in_rank_500,link
41,UPS,"$71,861",9.10%,"$4,791",-2.40%,"$50,016","$96,116.3",3,"364,575",3,View More details about UPS
42,Lowe's,"$71,309",3.90%,"$2,314",-32.90%,"$34,508","$87,685.5",-2,"245,000",-2,View More details about Lowe's
43,Intel,"$70,848",12.90%,"$21,053",119.30%,"$127,963","$241,488.9",3,"107,400",3,View More details about Intel
44,MetLife,"$67,941",2.70%,"$5,123",27.80%,"$687,538","$40,751",-1,"48,000",-1,View More details about MetLife
45,Procter & Gamble,"$66,832",0.90%,"$9,750",-36.40%,"$118,310","$260,289.4",-3,"92,000",-3,View More details about Procter & Gamble
47,FedEx,"$65,450",8.50%,"$4,572",52.60%,"$52,330","$47,270.8",3,"359,000",3,View More details about FedEx
48,PepsiCo,"$64,661",1.80%,"$12,515",157.70%,"$77,648","$172,094.7",-3,"267,000",-3,View More details about PepsiCo
49,Archer Daniels Midland,"$64,341",5.80%,"$1,810",13.50%,"$40,833","$24,156.7",-1,"31,600",-1,View More details about Archer Daniels Midland
50,Prudential Financial,"$62,992",5.50%,"$4,074",-48.20%,"$815,078","$37,517.7",2,"50,492",2,View More details about Prudential Financial
51,Centene,"$60,116",23.80%,$900,8.70%,"$30,901","$21,939.7",10,"47,300",10,View More details about Centene
52,Albertsons,"$59,924.6",0.40%,$46.3,-,"$21,812.3",-,1,"275,000",1,View More details about Albertsons
53,Walt Disney,"$59,434",7.80%,"$12,598",40.30%,"$98,598","$199,589.9",2,"201,000",2,View More details about Walt Disney
54,Sysco,"$58,727.3",6.10%,"$1,430.8",25.20%,"$18,070.4","$34,278.8",-,"67,000",-,View More details about Sysco
55,HP,"$58,472",12.30%,"$5,327",110.90%,"$34,622","$29,795.9",3,"55,000",3,View More details about HP
56,Humana,"$56,912",5.80%,"$1,683",-31.30%,"$25,413","$36,079.6",-,"41,600",-,View More details about Humana
57,Meta Platforms,"$55,838",37.40%,"$22,112",38.80%,"$97,334","$475,731.6",19,"35,587",19,View More details about Meta Platforms
58,Caterpillar,"$54,722",20.40%,"$6,147",715.30%,"$78,509","$77,980.3",7,"104,000",7,View More details about Caterpillar
59,Energy Transfer,"$54,436",14.60%,"$1,694",77.60%,"$88,246","$40,260",5,"11,768",5,View More details about Energy Transfer
60,Lockheed Martin,"$53,762",5.30%,"$5,046",152%,"$44,876","$84,887.6",-1,"105,000",-1,View More details about Lockheed Martin
61,Pfizer,"$53,647",2.10%,"$11,153",-47.70%,"$159,422","$235,785.1",-4,"92,400",-4,View More details about Pfizer
62,Goldman Sachs Group,"$52,528",24.30%,"$10,459",144%,"$931,796","$70,414.9",8,"36,600",8,View More details about Goldman Sachs Group
63,Morgan Stanley,"$50,193",15%,"$8,748",43.20%,"$853,531","$72,110.8",4,"60,348",4,View More details about Morgan Stanley
64,Cisco Systems,"$49,330",2.80%,$110,-98.90%,"$108,784","$237,665.5",-2,"74,200",-2,View More details about Cisco Systems
65,Cigna Group,"$48,650",16.90%,"$2,637",17.90%,"$153,226","$61,058.9",8,"73,800",8,View More details about Cigna Group
66,AIG,"$47,389",-4.30%,$-6,-,"$491,984","$37,440.1",-6,"49,600",-6,View More details about AIG
67,HCA Healthcare,"$46,677",-2%,"$3,787",70.90%,"$39,207","$44,787",-4,"229,000",-4,View More details about HCA Healthcare
68,American Airlines Group,"$44,541",5.50%,"$1,412",-26.40%,"$60,580","$14,262",3,"128,900",3,View More details about American Airlines Group
69,Delta Air Lines,"$44,438",7.70%,"$3,935",10%,"$60,266","$35,067.8",6,"88,680",6,View More details about Delta Air Lines
70,Charter Communications,"$43,634",4.90%,"$1,230",-87.60%,"$146,130","$85,923.4",4,"98,000",4,View More details about Charter Communications
71,New York Life Insurance,"$43,425.3",2.70%,$880,-52.90%,"$311,449.3",-,-2,"11,388",-2,View More details about New York Life Insurance
72,American Express,"$43,281",21.60%,"$6,921",153%,"$188,602","$91,675.1",14,"59,000",14,View More details about American Express
73,Nationwide,"$43,270",-1.50%,$512.6,107.90%,"$214,141.9",-,-7,"30,472",-7,View More details about Nationwide
74,Best Buy,"$42,879",1.70%,"$1,464",46.40%,"$12,901","$19,030.2",-2,"125,000",-2,View More details about Best Buy
75,Liberty Mutual Insurance Group,"$42,685",,"$2,160",12605.90%,"$125,989",-,-7,"50,000",-7,View More details about Liberty Mutual Insurance Group
76,Merck,"$42,294",5.40%,"$6,220",159.80%,"$82,637","$214,680.1",2,"69,000",2,View More details about Merck
77,Honeywell International,"$41,802",3.10%,"$6,765",308.80%,"$57,773","$115,752.5",-,"114,000",-,View More details about Honeywell International
78,United Airlines Holdings,"$41,303",9.50%,"$2,129",-0.10%,"$44,792","$21,279.5",3,"92,000",3,View More details about United Airlines Holdings
79,TIAA,"$41,052.1",14%,"$1,560.5",48.70%,"$568,190.2",-,5,"17,643",5,View More details about TIAA
80,Tyson Foods,"$40,052",4.70%,"$3,024",70.50%,"$29,109","$25,360.5",-,"121,000",-,View More details about Tyson Foods
81,Oracle,"$39,831",5.60%,"$3,825",-59%,"$137,264","$183,562.2",1,"137,000",1,View More details about Oracle
82,Allstate,"$39,815",3.40%,"$2,252",-29.40%,"$112,249","$31,264.3",-3,"45,420",-3,View More details about Allstate
83,World Kinect,"$39,750.3",18%,$127.7,-,"$5,676.9","$1,940.6",8,"5,000",8,View More details about World Kinect
84,Massachusetts Mutual Life,"$39,267.2",17.20%,$397.9,-22.40%,"$265,812.6",-,9,"9,844",9,View More details about Massachusetts Mutual Life
85,TJX,"$38,972.9",8.70%,"$3,059.8",17.30%,"$14,326","$65,615.7",-,"270,000",-,View More details about TJX
86,ConocoPhillips,"$38,727",18.90%,"$6,257",-,"$69,980","$75,710.1",9,"10,800",9,View More details about ConocoPhillips
87,Deere,"$37,357.7",25.60%,"$2,368.4",9.70%,"$70,108","$50,908",15,"74,413",15,View More details about Deere
88,Tech Data,"$37,239",1.30%,$340.6,192%,"$12,986.6","$3,779",-5,"14,000",-5,View More details about Tech Data
89,Enterprise Products Partners,"$36,534.2",24.90%,"$4,172.4",49.10%,"$56,969.8","$63,579.8",16,"7,000",16,View More details about Enterprise Products Partners
90,Nike,"$36,397",6%,"$1,933",-54.40%,"$22,536","$132,529.5",-1,"73,100",-1,View More details about Nike
91,Publix Super Markets,"$36,395.7",4.50%,"$2,381.2",3.90%,"$18,982.5",-,-3,"202,000",-3,View More details about Publix Super Markets
92,General Dynamics,"$36,193",16.90%,"$3,345",14.90%,"$45,408","$48,883",7,"105,600",7,View More details about General Dynamics
93,Exelon,"$35,985",7.30%,"$2,010",-46.70%,"$119,666","$48,623.7",-1,"33,383",-1,View More details about Exelon
94,Plains GP Holdings,"$34,055",29.90%,$334,-,"$26,830","$3,974.4",21,"4,900",21,View More details about Plains GP Holdings
95,3M,"$32,765",3.50%,"$5,349",10.10%,"$36,500","$119,659.8",2,"93,516",2,View More details about 3M
96,AbbVie,"$32,753",16.10%,"$5,687",7.10%,"$59,352","$119,125.3",14,"30,000",14,View More details about AbbVie
97,CHS,"$32,683.3",2%,$775.9,983.80%,"$16,381.2",-,-1,"10,495",-1,View More details about CHS
98,Capital One Financial,"$32,377",7.90%,"$6,015",203.50%,"$372,538","$38,340.7",3,"47,600",3,View More details about Capital One Financial
99,Progressive,"$31,979",19.20%,"$2,615.3",64.30%,"$46,575","$42,099.5",13,"37,346",13,View More details about Progressive
100,Coca-Cola,"$31,856",-10%,"$6,434",415.50%,"$83,216","$200,334.1",-13,"62,600",-13,View More details about Coca-Cola
101,USAA,"$31,367.8",4.50%,"$2,291.9",-5.40%,"$158,506.8",-,-1,"33,689",-1,View More details about USAA
102,Hewlett Packard Enterprise,"$30,852",6.90%,"$1,908",454.70%,"$55,493","$21,144.9",5,"60,000",5,View More details about Hewlett Packard Enterprise
103,Abbott Laboratories,"$30,578",11.60%,"$2,368",396.40%,"$67,173","$140,412.2",8,"103,000",8,View More details about Abbott Laboratories
104,Twenty-First Century Fox,"$30,400",6.70%,"$4,464",51.20%,"$53,831",-,5,"22,400",5,View More details about Twenty-First Century Fox
105,Micron Technology,"$30,391",49.50%,"$14,135",177.80%,"$43,376","$45,739.4",45,"36,000",45,View More details about Micron Technology
106,Travelers,"$30,282",4.80%,"$2,523",22.70%,"$104,233","$36,126.7",-,"30,400",-,View More details about Travelers
107,Rite Aid,"$30,215.4",-8%,$943.5,23178.30%,"$8,989.3",$685.7,-13,"48,410",-13,View More details about Rite Aid
108,Northrop Grumman,"$30,095",16.60%,"$3,229",60.20%,"$37,653","$45,821",10,"85,000",10,View More details about Northrop Grumman
109,Arrow Electronics,"$29,676.8",10.70%,$716.2,78.20%,"$17,784.4","$6,564.4",4,"20,100",4,View More details about Arrow Electronics
110,Philip Morris International,"$29,625",3.10%,"$7,911",31.10%,"$39,801","$137,516.7",-2,"77,400",-2,View More details about Philip Morris International
111,Northwestern Mutual,"$29,124",-0.70%,$783,-23%,"$272,167",-,-7,"5,870",-7,View More details about Northwestern Mutual
112,INTL FCStone,"$27,622.7",-6.10%,$55.5,767.20%,"$7,824.7",$739.5,-9,"1,701",-9,View More details about INTL FCStone
113,PBF Energy,"$27,186.1",24.80%,$128.3,-69.10%,"$8,005.4","$3,732",22,"3,266",22,View More details about PBF Energy
114,RTX,"$27,058",6.70%,"$2,909",43.70%,"$31,864","$51,390.1",5,"67,000",5,View More details about RTX
115,Kraft Heinz,"$26,259",0.10%,"$-10,229",-193%,"$103,627","$39,814.6",-1,"39,000",-1,View More details about Kraft Heinz
116,Mondelez International,"$25,938",0.20%,"$3,381",15.70%,"$62,729","$72,171.7",1,"80,000",1,View More details about Mondelez International
117,U.S. Bancorp,"$25,775",7.40%,"$7,096",14.10%,"$467,374","$77,116.5",5,"75,772",5,View More details about U.S. Bancorp
118,Macy's,"$25,739",3.60%,"$1,108",-28.40%,"$19,194","$7,388.4",2,"130,000",2,View More details about Macy's
119,Dollar General,"$25,625",9.20%,"$1,589.5",3.30%,"$13,204","$30,960.6",4,"135,000",4,View More details about Dollar General
120,Nucor,"$25,067.3",23.80%,"$2,360.8",79%,"$17,920.6","$17,784",31,"26,300",31,View More details about Nucor
121,Starbucks,"$24,719.5",10.40%,"$4,518.3",56.60%,"$24,156.4","$92,449.2",11,"291,000",11,View More details about Starbucks
122,DXC Technology,"$24,556",222.80%,"$1,751",-,"$33,921","$17,252.5",252,"150,000",252,View More details about DXC Technology
123,Eli Lilly,"$24,555.7",7.40%,"$3,232",-,"$43,908.4","$134,355.9",6,"38,680",6,View More details about Eli Lilly
124,Thermo Fisher Scientific,"$24,358",16.40%,"$2,938",32%,"$56,232","$109,215.3",20,"69,200",20,View More details about Thermo Fisher Scientific
125,US Foods Holding,"$24,175",0.10%,$407,-8.40%,"$9,186","$7,597.8",-4,"24,900",-4,View More details about US Foods Holding
126,Duke Energy,"$24,116",4%,"$2,666",-12.80%,"$145,392","$65,488.1",-1,"30,083",-1,View More details about Duke Energy
127,Halliburton,"$23,995",16.40%,"$1,656",-,"$25,982","$25,565.5",19,"60,000",19,View More details about Halliburton
128,Cummins,"$23,771",16.40%,"$2,141",114.30%,"$19,062","$24,839.1",21,"62,610",21,View More details about Cummins
129,Amgen,"$23,747",3.90%,"$8,394",324.20%,"$66,416","$118,220.4",1,"21,500",1,View More details about Amgen
130,Paccar,"$23,495.7",20.80%,"$2,195.1",31%,"$25,482.4","$23,630.4",25,"28,000",25,View More details about Paccar
131,Southern,"$23,495",2%,"$2,226",164.40%,"$116,914","$53,466.3",-5,"30,286",-5,View More details about Southern
132,Lumen Technologies,"$23,443",32.80%,"$-1,733",-224.80%,"$70,256","$12,946.6",34,"45,000",34,View More details about Lumen Technologies
133,International Paper,"$23,306",,"$2,012",-6.20%,"$33,576","$18,518.9",-9,"53,000",-9,View More details about International Paper
134,Union Pacific,"$22,832",7.50%,"$5,966",-44.30%,"$59,147","$120,865.2",7,"41,967",7,View More details about Union Pacific
135,Dollar Tree,"$22,823.3",2.60%,"$-1,590.8",-192.80%,"$13,501.2","$25,021",-1,"119,650",-1,View More details about Dollar Tree
136,Penske Automotive Group,"$22,785.1",6.50%,$471,-23.20%,"$10,904.5","$3,756.8",3,"27,000",3,View More details about Penske Automotive Group
137,Qualcomm,"$22,732",2%,"$-4,864",-297.20%,"$32,686","$69,023.7",-4,"35,400",-4,View More details about Qualcomm
138,Bristol-Myers Squibb,"$22,561",8.60%,"$4,920",388.60%,"$34,986","$77,895",7,"23,300",7,View More details about Bristol-Myers Squibb
139,Gilead Sciences,"$22,127",-15.20%,"$5,455",17.90%,"$63,675","$82,881",-23,"11,000",-23,View More details about Gilead Sciences
140,Jabil,"$22,095.4",15.90%,$86.3,-33.10%,"$12,045.6","$4,113.9",19,"199,000",19,View More details about Jabil
141,ManpowerGroup,"$21,991.2",4.50%,$556.7,2.10%,"$8,519.8","$4,964.7",2,"30,000",2,View More details about ManpowerGroup
142,Southwest Airlines,"$21,965",3.80%,"$2,465",-29.30%,"$26,243","$28,690.1",-,"58,803",-,View More details about Southwest Airlines
143,Aflac,"$21,758",0.40%,"$2,920",-36.60%,"$140,406","$37,442.5",-6,"11,390",-6,View More details about Aflac
144,Tesla,"$21,461.3",82.50%,$-976.1,-,"$29,739.6","$48,337.8",116,"48,817",116,View More details about Tesla
145,AutoNation,"$21,412.8",-0.60%,$396,-8.90%,"$10,665.1","$3,216.9",-7,"26,000",-7,View More details about AutoNation
146,CBRE Group,"$21,340.1",50.20%,"$1,063.2",53.80%,"$13,456.8","$16,607",61,"90,000",61,View More details about CBRE Group
147,Lear,"$21,148.5",3.30%,"$1,149.8",-12.50%,"$11,600.7","$8,470.4",1,"169,000",1,View More details about Lear
148,Whirlpool,"$21,037",-1%,$-183,-152.30%,"$18,347","$8,454.6",-8,"92,000",-8,View More details about Whirlpool
149,McDonald's,"$21,025.2",-7.90%,"$5,924.3",14.10%,"$32,811.2","$145,333.8",-18,"210,000",-18,View More details about McDonald's
150,Broadcom,"$20,848",18.10%,"$12,259",624.50%,"$50,124","$119,034.7",-,"15,000",-,View More details about Broadcom
151,Marriott International,"$20,758",-9.30%,"$1,907",39%,"$23,696","$42,117.1",-24,"176,000",-24,View More details about Marriott International
152,Western Digital,"$20,647",8.10%,$675,70%,"$29,235","$13,978.3",6,"71,600",6,View More details about Western Digital
153,Visa,"$20,609",12.30%,"$10,301",53.80%,"$69,225","$343,774.2",8,"17,000",8,View More details about Visa
154,Lennar,"$20,571.6",62.70%,"$1,695.8",109.20%,"$28,566.2","$15,513.8",76,"11,626",76,View More details about Lennar
155,WellCare Health Plans,"$20,414.1",20%,$439.8,17.70%,"$11,764.7","$13,569",15,"12,000",15,View More details about WellCare Health Plans
156,Kohl's,"$20,229",5.90%,$801,-6.80%,"$12,469","$11,220.9",1,"81,500",1,View More details about Kohl's
157,AECOM,"$20,155.5",10.70%,$136.5,-59.80%,"$14,681.1","$4,631.3",7,"87,000",7,View More details about AECOM
158,TD Synnex,"$20,053.8",17.60%,$300.6,-0.20%,"$11,480.4","$4,885.1",11,"231,600",11,View More details about TD Synnex
159,PNC Financial Services Group,"$19,993",10.90%,"$5,301",-0.70%,"$382,315","$55,640.1",6,"51,996",6,View More details about PNC Financial Services Group
160,Danaher,"$19,893",8.50%,"$2,650.9",6.40%,"$47,832.5","$94,485.9",2,"71,000",2,View More details about Danaher
161,Hartford Insurance Group,"$19,827",3.10%,"$1,807",-,"$62,307","$17,872.9",-5,"18,500",-5,View More details about Hartford Insurance Group
162,Altria Group,"$19,627",0.70%,"$6,963",-31.90%,"$55,638","$107,648.6",-8,"8,300",-8,View More details about Altria Group
163,Bank of New York (BNY),"$19,214",15.60%,"$4,266",4.30%,"$362,873","$48,152.7",12,"51,300",12,View More details about Bank of New York (BNY)
164,Fluor,"$19,166.6",-1.80%,$224.8,17.50%,"$8,913.6","$5,137.6",-11,"53,349",-11,View More details about Fluor
165,Avnet,"$19,036.9",-16.80%,$-156.4,-129.80%,"$9,596.8","$4,702.5",-37,"15,400",-37,View More details about Avnet
166,Icahn Enterprises,"$18,979",-12.70%,"$1,507",-38%,"$23,396","$13,874.6",-30,"29,034",-30,View More details about Icahn Enterprises
167,Occidental Petroleum,"$18,934",42.60%,"$4,131",215.10%,"$43,854","$49,509.5",53,"11,000",53,View More details about Occidental Petroleum
168,Molina Healthcare,"$18,890",-5%,$707,-,"$7,154","$8,890.9",-16,"11,000",-16,View More details about Molina Healthcare
169,Genuine Parts,"$18,735.1",14.90%,$810.5,31.40%,"$12,683","$16,350.1",8,"50,000",8,View More details about Genuine Parts
170,Freeport-McMoRan,"$18,628",13.50%,"$2,602",43.20%,"$42,216","$18,678.4",6,"26,800",6,View More details about Freeport-McMoRan
171,Kimberly-Clark,"$18,486",1.20%,"$1,410",-38.10%,"$14,518","$42,635.2",-8,"41,000",-8,View More details about Kimberly-Clark
172,Tenet Healthcare,"$18,313",-11.20%,$111,-,"$22,409","$2,968.6",-25,"102,795",-25,View More details about Tenet Healthcare
173,Synchrony,"$18,253",9.30%,"$2,790",44.20%,"$106,792","$22,644.6",-,"16,500",-,View More details about Synchrony
174,CarMax,"$17,976.8",8.10%,$664.1,5.90%,"$17,486.3","$11,690",-,"25,110",-,View More details about CarMax
175,HF Sinclair,"$17,714.7",24.30%,"$1,098",36.30%,"$10,994.6","$8,413.6",31,"3,622",31,View More details about HF Sinclair
176,Performance Food Group,"$17,619.9",5.10%,$198.7,106.30%,"$4,000.9","$4,170.2",-5,"15,000",-5,View More details about Performance Food Group
177,Sherwin-Williams,"$17,534.5",17%,"$1,108.7",-37.40%,"$19,134.3","$39,918.5",13,"53,368",13,View More details about Sherwin-Williams
178,Emerson Electric,"$17,408",6.80%,"$2,203",45.10%,"$20,390","$42,083",-,"87,500",-,View More details about Emerson Electric
179,NGL Energy Partners,"$17,282.7",32.70%,$-70.9,-151.70%,"$6,151.1","$1,740.2",44,"2,400",44,View More details about NGL Energy Partners
180,XPO,"$17,279",12.30%,$422,24%,"$12,270","$5,868.1",6,"100,000",6,View More details about XPO
181,EOG Resources,"$17,275.4",54.10%,"$3,419",32.40%,"$33,934.5","$55,209.9",89,"2,800",89,View More details about EOG Resources
182,Applied Materials,"$17,253",18.70%,"$3,313",-3.50%,"$17,773","$37,652.9",19,"21,000",19,View More details about Applied Materials
183,PG&E,"$16,759",-2.20%,"$-6,851",-516.20%,"$76,995","$9,390.6",-15,"24,000",-15,View More details about PG&E
184,NextEra Energy,"$16,727",-2.70%,"$6,638",23.40%,"$103,702","$92,439.3",-17,"14,300",-17,View More details about NextEra Energy
185,C.H. Robinson Worldwide,"$16,631.2",11.80%,$664.5,31.60%,"$4,427.4","$11,948.8",8,"15,262",8,View More details about C.H. Robinson Worldwide
186,Gap,"$16,580",4.60%,"$1,003",18.30%,"$8,049","$9,911.7",-5,"135,000",-5,View More details about Gap
187,Lincoln National,"$16,424",15.20%,"$1,641",-21.10%,"$298,147","$11,992",18,"11,034",18,View More details about Lincoln National
188,DaVita,"$16,368.6",2.10%,$159.4,-76%,"$19,110.3","$9,033.9",-9,"77,700",-9,View More details about DaVita
189,Jones Lang LaSalle,"$16,318.4",105.70%,$484.5,90.60%,"$10,025.5","$7,033.9",167,"90,000",167,View More details about Jones Lang LaSalle
190,WestRock,"$16,285.1",9.60%,"$1,906.1",169.10%,"$25,360.5","$9,793.5",4,"45,100",4,View More details about WestRock
191,CDW,"$16,240.5",6.90%,$643,22.90%,"$7,167.7","$14,172.1",-2,"9,019",-2,View More details about CDW
192,American Electric Power,"$16,195.7",5%,"$1,923.8",0.60%,"$68,802.8","$41,312.8",-7,"17,582",-7,View More details about American Electric Power
193,Cognizant Technology Solutions,"$16,125",8.90%,"$2,101",39.70%,"$15,913","$41,665.9",2,"281,600",2,View More details about Cognizant Technology Solutions
194,D.R. Horton,"$16,068",14%,"$1,460.3",40.60%,"$14,114.6","$15,452.2",17,"8,437",17,View More details about D.R. Horton
195,Becton Dickinson,"$15,983",32.20%,$311,-71.70%,"$53,904","$67,193.2",56,"76,032",56,View More details about Becton Dickinson
196,Nordstrom,"$15,860",2.50%,$564,29.10%,"$7,886","$6,879",-13,"74,000",-13,View More details about Nordstrom
197,Netflix,"$15,794.3",35.10%,"$1,211.2",116.70%,"$25,974.4","$155,673.6",64,"7,100",64,View More details about Netflix
198,Aramark,"$15,789.6",8.10%,$567.9,51.90%,"$13,720.1","$7,278.1",2,"227,200",2,View More details about Aramark
199,Texas Instruments,"$15,784",5.50%,"$5,580",51.50%,"$17,137","$99,559.2",-7,"29,888",-7,View More details about Texas Instruments
200,General Mills,"$15,740.4",0.80%,"$2,131",28.60%,"$30,624","$30,987.4",-18,"40,000",-18,View More details about General Mills
201,Supervalu,"$15,679",-2.10%,$45,-93.10%,"$4,387",-,-21,"23,000",-21,View More details about Supervalu
202,Colgate-Palmolive,"$15,544",0.60%,"$2,400",18.60%,"$12,161","$58,931.4",-18,"34,500",-18,View More details about Colgate-Palmolive
203,Goodyear Tire & Rubber,"$15,475",0.60%,$693,100.30%,"$16,872","$4,215.6",-16,"64,000",-16,View More details about Goodyear Tire & Rubber
204,PayPal Holdings,"$15,451",18%,"$2,057",14.60%,"$43,332","$121,826.1",18,"21,800",18,View More details about PayPal Holdings
205,PPG Industries,"$15,374",2.70%,"$1,341",-15.70%,"$16,015","$26,648.8",-14,"47,300",-14,View More details about PPG Industries
206,Omnicom Group,"$15,290.2",0.10%,"$1,326.4",21.90%,"$24,617","$16,327.2",-18,"70,400",-18,View More details about Omnicom Group
207,Celgene,"$15,281",17.50%,"$4,046",37.60%,"$35,480","$66,242.2",17,"8,852",17,View More details about Celgene
208,Jacobs Solutions,"$14,984.6",49.50%,$163.4,-44.40%,"$12,645.8","$10,490.3",89,"77,600",89,View More details about Jacobs Solutions
209,Ross Stores,"$14,983.5",6%,"$1,587.5",16.50%,"$6,073.7","$34,501.8",-,"88,100",-,View More details about Ross Stores
210,Marsh & McLennan,"$14,950",6.60%,"$1,650",10.60%,"$21,578","$47,660.1",2,"66,000",2,View More details about Marsh & McLennan
210,Mastercard,"$14,950",19.60%,"$5,859",49.70%,"$24,860","$241,550.3",26,"14,800",26,View More details about Mastercard
212,Land O'Lakes,"$14,936.2",8.70%,$254.5,-19%,"$9,124.4",-,4,"10,000",4,View More details about Land O'Lakes
213,Waste Management,"$14,914",3%,"$1,925",-1.20%,"$22,650","$44,128.7",-11,"43,700",-11,View More details about Waste Management
