rank,company,revenues,revenue_percent_change,profits,profits_percent_change,assets,market_value,change_in_rank_1000,employees,change_in_rank_500,link
1,Walmart,"$514,405",2.80%,"$6,670",-32.40%,"$219,295","$279,880.3",-,"2,200,000",-,View More details about Walmart
2,ExxonMobil Holdings,"$290,212",18.80%,"$20,840",5.70%,"$346,196","$342,172",-,"71,000",-,View More details about ExxonMobil Holdings
3,Apple,"$265,595",15.90%,"$59,531",23.10%,"$365,725","$895,667.4",1,"132,000",1,View More details about Apple
4,Berkshire Hathaway,"$247,837",2.40%,"$4,021",-91.10%,"$707,794","$493,870.3",-1,"389,000",-1,View More details about Berkshire Hathaway
5,Amazon,"$232,887",30.90%,"$10,073",232.10%,"$162,648","$874,709.5",3,"647,500",3,View More details about Amazon
6,UnitedHealth Group,"$226,247",12.50%,"$11,986",13.50%,"$152,221","$237,255.5",-1,"300,000",-1,View More details about UnitedHealth Group
7,McKesson,"$208,357",4.90%,$67,-98.70%,"$60,381","$22,455.1",-1,"68,000",-1,View More details about McKesson
8,CVS Health,"$194,579",5.30%,$-594,-109%,"$196,456","$69,951.6",-1,"295,000",-1,View More details about CVS Health
9,AT&T,"$170,756",6.40%,"$19,370",-34.20%,"$531,864","$228,444.7",-,"268,220",-,View More details about AT&T
10,Cencora,"$167,939.6",9.70%,"$1,658.4",355%,"$37,669.8","$16,785.9",2,"20,500",2,View More details about Cencora
11,Chevron,"$166,339",23.60%,"$14,824",61.20%,"$253,863","$234,049.7",2,"48,600",2,View More details about Chevron
12,Ford Motor,"$160,338",2.30%,"$3,677",-51.60%,"$256,540","$35,028",-1,"199,000",-1,View More details about Ford Motor
13,General Motors,"$147,049",-6.50%,"$8,014",-,"$227,339","$52,291.7",-3,"173,000",-3,View More details about General Motors
14,Costco Wholesale,"$141,576",9.70%,"$3,134",17%,"$40,830","$106,512.6",1,"194,000",1,View More details about Costco Wholesale
15,Alphabet,"$136,819",23.40%,"$30,736",142.70%,"$232,792","$816,824.2",7,"98,771",7,View More details about Alphabet
16,Cardinal Health,"$136,809",5.30%,$256,-80.10%,"$39,951","$14,349.5",-2,"50,200",-2,View More details about Cardinal Health
17,Walgreens Boots Alliance,"$131,537",11.30%,"$5,024",23.20%,"$68,124","$59,691.7",2,"299,000",2,View More details about Walgreens Boots Alliance
18,JPMorgan Chase,"$131,412",15.40%,"$32,474",32.90%,"$2,622,532","$331,451.5",2,"256,105",2,View More details about JPMorgan Chase
19,Verizon Communications,"$130,863",3.80%,"$15,528",-48.40%,"$264,829","$244,327.9",-3,"144,500",-3,View More details about Verizon Communications
20,Kroger,"$121,162",-1.20%,"$3,110",63.10%,"$38,118","$19,630.8",-3,"453,000",-3,View More details about Kroger
21,GE Aerospace,"$120,268",-1.60%,"$-22,355",-,"$309,129","$87,009.3",-3,"283,000",-3,View More details about GE Aerospace
22,Fannie Mae,"$120,101",6.90%,"$15,959",547.90%,"$3,418,318","$3,242.6",-1,"7,400",-1,View More details about Fannie Mae
23,Phillips 66,"$114,217",24.70%,"$5,595",9.60%,"$54,302","$43,240.7",5,"14,200",5,View More details about Phillips 66
24,Valero Energy,"$111,407",26%,"$3,122",-23.20%,"$50,155","$35,426.1",7,"10,261",7,View More details about Valero Energy
25,Bank of America,"$110,584",10.30%,"$28,147",54.40%,"$2,354,507","$265,938.5",-1,"204,489",-1,View More details about Bank of America
26,Microsoft,"$110,360",22.70%,"$16,571",-21.80%,"$258,848","$904,860.9",4,"131,000",4,View More details about Microsoft
27,Home Depot,"$108,203",7.20%,"$11,121",28.90%,"$44,003","$211,828",-4,"413,000",-4,View More details about Home Depot
28,Boeing,"$101,127",8.30%,"$10,460",27.60%,"$117,359","$215,304.7",-1,"153,000",-1,View More details about Boeing
29,Wells Fargo,"$101,060",3.40%,"$22,393",0.90%,"$1,895,883","$219,467.1",-3,"258,700",-3,View More details about Wells Fargo
30,Citigroup,"$97,120",10.40%,"$18,045",-,"$1,917,383","$145,625.4",2,"204,000",2,View More details about Citigroup
31,Marathon Petroleum,"$97,102",43.60%,"$2,780",-19%,"$92,940","$40,258.2",10,"60,350",10,View More details about Marathon Petroleum
32,Comcast,"$94,507",11.80%,"$11,731",-48.40%,"$251,684","$180,948",1,"184,000",1,View More details about Comcast
33,Elevance Health,"$92,105",2.30%,"$3,750",-2.40%,"$71,571","$73,826.6",-4,"63,900",-4,View More details about Elevance Health
34,Dell Technologies,"$90,621",15.20%,"$-2,310",-,"$111,820","$42,170.5",1,"157,000",1,View More details about Dell Technologies
35,DuPont,"$85,977",37.20%,"$3,844",163.30%,"$188,030","$120,201.4",12,"98,000",12,View More details about DuPont
36,State Farm Insurance,"$81,732.2",4.30%,"$8,788.4",298.30%,"$272,518.4",-,-,"56,788",-,View More details about State Farm Insurance
37,Johnson & Johnson,"$81,581",6.70%,"$15,297",1076.70%,"$152,954","$372,228.9",-,"135,100",-,View More details about Johnson & Johnson
38,IBM,"$79,591",0.60%,"$8,728",51.70%,"$123,382","$125,560.1",-4,"381,100",-4,View More details about IBM
39,Target,"$75,356",4.80%,"$2,937",0.10%,"$41,290","$41,440.9",-,"360,000",-,View More details about Target
40,Freddie Mac,"$73,598",-1.40%,"$9,235",64.20%,"$2,063,060","$1,748.7",-2,"6,621",-2,View More details about Freddie Mac
