rank,company,revenues,revenue_percent_change,profits,profits_percent_change,assets,market_value,change_in_rank_1000,employees,change_in_rank_500,link
1,Walmart,"$523,964",1.90%,"$14,881",123.10%,"$236,495","$321,803.3",-,-,-,View More details about Walmart
2,Amazon,"$280,522",20.50%,"$11,588",15%,"$225,248","$970,680.1",3,-,3,View More details about Amazon
3,ExxonMobil Holdings,"$264,938",-8.70%,"$14,340",-31.20%,"$362,597","$160,696.3",-1,-,-1,View More details about ExxonMobil Holdings
4,Apple,"$260,174",-2%,"$55,256",-7.20%,"$338,516","$1,112,640.8",-1,-,-1,View More details about Apple
5,CVS Health,"$256,776",32%,"$6,634",-,"$222,449","$77,375.8",3,-,3,View More details about CVS Health
6,Berkshire Hathaway,"$254,616",2.70%,"$81,417",1924.80%,"$817,729","$442,897.1",-2,-,-2,View More details about Berkshire Hathaway
7,UnitedHealth Group,"$242,155",7%,"$13,839",15.50%,"$173,889","$236,555.2",-1,-,-1,View More details about UnitedHealth Group
8,McKesson,"$214,319",2.90%,$34,-49.30%,"$59,672","$21,845",-1,-,-1,View More details about McKesson
9,AT&T,"$181,193",6.10%,"$13,903",-28.20%,"$551,669","$209,387.5",-,-,-,View More details about AT&T
10,Cencora,"$179,589.1",6.90%,$855.4,-48.40%,"$39,172","$18,221.4",-,-,-,View More details about Cencora
11,Alphabet,"$161,857",18.30%,"$34,343",11.70%,"$275,909","$798,905.3",4,-,4,View More details about Alphabet
12,Ford Motor,"$155,900",-2.80%,$47,-98.70%,"$258,537","$19,150.6",-,-,-,View More details about Ford Motor
13,Cigna Group,"$153,566",215.70%,"$5,104",93.60%,"$155,774","$65,896.7",52,-,52,View More details about Cigna Group
14,Costco Wholesale,"$152,703",7.90%,"$3,659",16.80%,"$45,400","$125,907.7",-,-,-,View More details about Costco Wholesale
15,Chevron,"$146,516",-11.90%,"$2,924",-80.30%,"$237,428","$136,175.9",-4,-,-4,View More details about Chevron
16,Cardinal Health,"$145,534",6.40%,"$1,363",432.40%,"$40,963","$13,988.1",-,-,-,View More details about Cardinal Health
17,JPMorgan Chase,"$142,422",8.40%,"$36,431",12.20%,"$2,687,379","$276,750.1",1,-,1,View More details about JPMorgan Chase
