rank,company,revenues,revenue_percent_change,profits,profits_percent_change,assets,market_value,change_in_rank_1000,employees,change_in_rank_500,link
125,Micron Technology,"$37,378",48.90%,"$8,539",997.60%,"$82,798","$380,993.7",45,"53,000",45,View More details about Micron Technology
126,Warner Bros. Discovery,"$37,296",-5.20%,$727,,"$100,085","$68,098.9",-12,"35,500",-12,View More details about Warner Bros. Discovery
127,Starbucks,"$37,184.4",2.80%,"$1,856.4",-50.60%,"$32,019.7","$102,069.9",-1,"381,000",-1,View More details about Starbucks
128,World Kinect,"$36,916.6",-12.50%,$-614.4,-1011.60%,"$5,863.9","$1,183",-22,"4,003",-22,View More details about World Kinect
129,Amgen,"$36,751",10%,"$7,711",88.50%,"$90,586","$189,671",5,"31,500",5,View More details about Amgen
130,CHS,"$35,462.6",-9.70%,$597.9,-45.80%,"$18,863.9",-,-15,"10,683",-15,View More details about CHS
131,Advanced Micro Devices,"$34,639",34.30%,"$4,335",164.20%,"$76,926","$331,659.8",36,"31,000",36,View More details about Advanced Micro Devices
132,Coupang,"$34,534",14.10%,$208,35.10%,"$17,787","$34,516.3",10,"108,000",10,View More details about Coupang
133,Hewlett Packard Enterprise,"$34,296",13.80%,$57,-97.80%,"$75,906","$31,592.4",10,"67,000",10,View More details about Hewlett Packard Enterprise
134,D.R. Horton,"$34,250.4",-6.90%,"$3,585.2",-24.60%,"$35,471.2","$39,753.1",-11,"14,341",-11,View More details about D.R. Horton
135,Lennar,"$34,186.9",-3.50%,"$2,078.2",-47.20%,"$34,430.4","$21,503.4",-6,"12,532",-6,View More details about Lennar
136,PNC Financial Services Group,"$33,996",-1.30%,"$6,936",17.80%,"$573,572","$83,937.5",-5,"54,596",-5,View More details about PNC Financial Services Group
137,Cummins,"$33,670",-1.30%,"$2,843",-28%,"$33,992","$74,335.8",-5,"67,400",-5,View More details about Cummins
138,Oneok,"$33,629",55%,"$3,393",11.80%,"$66,641","$56,926.1",62,"6,326",62,View More details about Oneok
139,PayPal Holdings,"$33,172",4.30%,"$5,233",26.20%,"$80,173","$41,641.7",-2,"23,800",-2,View More details about PayPal Holdings
140,GuideWell Mutual Holding,"$32,863.2",-0.30%,$34.5,-87.90%,"$20,553.1",-,-4,"15,431",-4,View More details about GuideWell Mutual Holding
141,Mastercard,"$32,791",16.40%,"$14,968",16.30%,"$54,157","$445,602.9",11,"39,800",11,View More details about Mastercard
142,Nucor,"$32,494",5.70%,"$1,744",-14%,"$35,104","$38,510.1",-2,"33,000",-2,View More details about Nucor
143,Apollo Global Management,"$32,102",22.20%,"$3,492",-23.70%,"$460,949","$64,428.3",20,"6,140",20,View More details about Apollo Global Management
144,Penske Automotive Group,"$31,808.5",4.40%,$935.4,1.80%,"$17,597.7","$9,830.8",-3,"27,700",-3,View More details about Penske Automotive Group
145,Duke Energy,"$31,794",6.20%,"$4,968",9.80%,"$195,736","$101,899.7",-1,"26,441",-1,View More details about Duke Energy
146,United Natural Foods,"$31,784",2.60%,$-118,,"$7,595","$2,737.5",-8,"25,600",-8,View More details about United Natural Foods
147,Ferguson Enterprises,"$31,316",5.70%,"$2,006",15.60%,"$17,152","$45,344.1",-1,"35,000",-1,View More details about Ferguson Enterprises
148,Arrow Electronics,"$30,852.9",10.50%,$571.3,45.70%,"$29,078.1","$7,326",6,"22,230",6,View More details about Arrow Electronics
149,NRG Energy,"$30,713",9.20%,$864,-23.20%,"$29,140","$31,355.3",4,"16,702",4,View More details about NRG Energy
150,Truist Financial,"$30,438",18.80%,"$5,307",10.20%,"$547,538","$57,049.2",18,"37,898",18,View More details about Truist Financial
151,Jabil,"$29,802",3.20%,$657,-52.70%,"$18,543","$28,049.3",-3,"135,000",-3,View More details about Jabil
152,Southern,"$29,553",10.60%,"$4,341",-1.40%,"$155,720","$108,043.7",9,"29,651",9,View More details about Southern
153,Gilead Sciences,"$29,443",2.40%,"$8,510",1672.90%,"$59,023","$172,986.6",-4,"17,000",-4,View More details about Gilead Sciences
154,PBF Energy,"$29,332.3",-11.40%,$-158.5,,"$13,019.9","$5,593.2",-19,"3,678",-19,View More details about PBF Energy
155,Paramount Skydance,"$28,891",-1.10%,$-621,,"$43,342","$10,027.9",-8,"19,400",-8,View More details about Paramount Skydance
156,KKR,"$28,888.4",-3.30%,"$2,370.5",-22.90%,"$410,144.1","$82,468.5",-11,"5,043",-11,View More details about KKR
157,Quanta Services,"$28,479.7",20.30%,"$1,028.4",13.70%,"$24,926.9","$82,144.1",27,"69,500",27,View More details about Quanta Services
