rank,company,revenues,revenue_percent_change,profits,profits_percent_change,assets,market_value,change_in_rank_1000,employees,change_in_rank_500,link
1,Walmart,"$500,343",3%,"$9,862",-27.70%,"$204,522","$263,563.1",-,"2,300,000",-,View More details about Walmart
2,ExxonMobil Holdings,"$244,363",17.40%,"$19,710",151.40%,"$348,691","$316,157.1",2,"71,200",2,View More details about ExxonMobil Holdings
3,Berkshire Hathaway,"$242,137",8.30%,"$44,940",86.70%,"$702,095","$492,008.4",-1,"377,000",-1,View More details about Berkshire Hathaway
4,Apple,"$229,234",6.30%,"$48,351",5.80%,"$375,319","$851,317.9",-1,"123,000",-1,View More details about Apple
5,UnitedHealth Group,"$201,159",8.80%,"$10,558",50.50%,"$139,058","$207,079.9",1,"260,000",1,View More details about UnitedHealth Group
6,McKesson,"$198,533",3.10%,"$5,070",124.50%,"$60,969","$29,067",-1,"64,500",-1,View More details about McKesson
7,CVS Health,"$184,765",4.10%,"$6,622",24.50%,"$95,131","$63,114",-,"203,000",-,View More details about CVS Health
8,Amazon,"$177,866",30.80%,"$3,033",27.90%,"$131,310","$700,667.7",4,"566,000",4,View More details about Amazon
9,AT&T,"$160,546",-2%,"$29,450",127%,"$444,097","$218,945.6",-,"254,000",-,View More details about AT&T
10,General Motors,"$157,311",-5.50%,"$-3,864",-141%,"$212,482","$50,971.6",-2,"180,000",-2,View More details about General Motors
11,Ford Motor,"$156,776",3.30%,"$7,602",65.40%,"$257,808","$44,244.3",-1,"202,000",-1,View More details about Ford Motor
12,Cencora,"$153,143.8",4.30%,$364.5,-74.50%,"$35,316.5","$18,937.7",-1,"19,500",-1,View More details about Cencora
13,Chevron,"$134,533",25.10%,"$9,195",-,"$253,806","$217,845.3",6,"51,900",6,View More details about Chevron
14,Cardinal Health,"$129,976",6.90%,"$1,288",-9.70%,"$40,112","$19,725.8",1,"40,400",1,View More details about Cardinal Health
15,Costco Wholesale,"$129,025",8.70%,"$2,679",14%,"$36,347","$82,686.9",1,"182,000",1,View More details about Costco Wholesale
16,Verizon Communications,"$126,034",,"$30,101",129.30%,"$257,143","$197,496.6",-2,"155,400",-2,View More details about Verizon Communications
17,Kroger,"$122,662",6.40%,"$1,907",-3.40%,"$37,197","$20,827.8",1,"449,000",1,View More details about Kroger
18,GE Aerospace,"$122,274",-3.50%,"$-5,786",-165.50%,"$377,945","$117,053.7",-5,"313,000",-5,View More details about GE Aerospace
19,Walgreens Boots Alliance,"$118,214",0.70%,"$4,078",-2.30%,"$66,009","$64,924.3",-2,"290,000",-2,View More details about Walgreens Boots Alliance
20,JPMorgan Chase,"$113,899",8%,"$24,441",-1.20%,"$2,533,600","$375,042.9",1,"252,539",1,View More details about JPMorgan Chase
21,Fannie Mae,"$112,394",4.90%,"$2,463",-80%,"$3,345,529","$1,632.9",-1,"7,200",-1,View More details about Fannie Mae
22,Alphabet,"$110,855",22.80%,"$12,662",-35%,"$197,295","$719,123.6",5,"80,110",5,View More details about Alphabet
23,Home Depot,"$100,904",6.70%,"$8,630",8.50%,"$44,529","$206,271.7",-,"413,000",-,View More details about Home Depot
24,Bank of America,"$100,264",7%,"$18,232",1.80%,"$2,281,234","$306,618.4",2,"209,376",2,View More details about Bank of America
25,Express Scripts Holding,"$100,064.6",-0.20%,"$4,517.4",32.70%,"$54,255.8","$38,790.6",-3,"26,600",-3,View More details about Express Scripts Holding
26,Wells Fargo,"$97,741",3.80%,"$22,183",1.10%,"$1,951,757","$255,556",-1,"262,700",-1,View More details about Wells Fargo
27,Boeing,"$93,392",-1.20%,"$8,197",67.50%,"$92,333","$192,539.1",-3,"140,800",-3,View More details about Boeing
28,Phillips 66,"$91,568",26.50%,"$5,106",228.40%,"$54,371","$44,729.9",6,"14,600",6,View More details about Phillips 66
29,Elevance Health,"$90,039.4",6.10%,"$3,842.8",55.60%,"$70,540","$56,182.1",-,"56,000",-,View More details about Elevance Health
30,Microsoft,"$89,950",5.40%,"$21,204",26.20%,"$241,086","$702,760.1",-2,"124,000",-2,View More details about Microsoft
31,Valero Energy,"$88,407",26%,"$4,065",77.60%,"$50,158","$39,976.7",6,"10,015",6,View More details about Valero Energy
32,Citigroup,"$87,966",6.80%,"$-6,798",-145.60%,"$1,842,465","$172,822",-2,"209,000",-2,View More details about Citigroup
33,Comcast,"$84,526",5.10%,"$22,714",161.20%,"$186,949","$158,702.8",-2,"164,000",-2,View More details about Comcast
34,IBM,"$79,139",-1%,"$5,753",-51.50%,"$125,356","$141,334.8",-2,"366,000",-2,View More details about IBM
35,Dell Technologies,"$78,660",21.40%,"$-3,728",-,"$122,281",-,6,"145,000",6,View More details about Dell Technologies
36,State Farm Insurance,"$78,330.8",2.90%,"$2,206.5",529.90%,"$272,345.2",-,-3,"65,664",-3,View More details about State Farm Insurance
37,Johnson & Johnson,"$76,450",6.30%,"$1,300",-92.10%,"$157,303","$343,780.3",-2,"134,000",-2,View More details about Johnson & Johnson
38,Freddie Mac,"$74,676",13.70%,"$5,625",-28%,"$2,049,776",$877.6,1,"6,165",1,View More details about Freddie Mac
39,Target,"$71,879",3.40%,"$2,934",7.20%,"$38,999","$37,408.6",-1,"345,000",-1,View More details about Target
40,Lowe's,"$68,619",5.50%,"$3,447",11.40%,"$35,291","$72,811.5",-,"255,000",-,View More details about Lowe's
41,Marathon Petroleum,"$67,610",21%,"$3,432",192.30%,"$49,047","$34,682.7",10,"43,800",10,View More details about Marathon Petroleum
42,Procter & Gamble,"$66,217",-7.70%,"$15,326",45.90%,"$120,406","$199,865.2",-6,"95,000",-6,View More details about Procter & Gamble
43,MetLife,"$66,153",4.20%,"$4,010",401.30%,"$719,892","$47,571.5",-1,"49,000",-1,View More details about MetLife
44,UPS,"$65,872",8.20%,"$4,910",43.10%,"$45,403","$90,156.1",2,"346,415",2,View More details about UPS
45,PepsiCo,"$63,525",1.20%,"$4,857",-23.30%,"$79,804","$154,932.5",-1,"263,000",-1,View More details about PepsiCo
46,Intel,"$62,761",5.70%,"$9,601",-6.90%,"$123,249","$243,109.4",1,"102,700",1,View More details about Intel
47,DuPont,"$62,683",30.20%,"$1,460",-66.20%,"$192,164","$148,186",15,"98,000",15,View More details about DuPont
48,Archer Daniels Midland,"$60,828",-2.40%,"$1,595",24.70%,"$39,963","$24,238.3",-3,"31,300",-3,View More details about Archer Daniels Midland
50,FedEx,"$60,319",19.80%,"$2,997",64.70%,"$48,552","$64,161",8,"357,000",8,View More details about FedEx
52,Prudential Financial,"$59,689",1.50%,"$7,863",80%,"$831,921","$43,685.8",-4,"49,705",-4,View More details about Prudential Financial
53,Albertsons,"$59,678.2",1.60%,$-373.3,-,"$23,755",-,-4,"273,000",-4,View More details about Albertsons
54,Sysco,"$55,371.1",9.90%,"$1,142.5",20.30%,"$17,756.7","$31,294.2",3,"66,500",3,View More details about Sysco
55,Walt Disney,"$55,137",-0.90%,"$8,980",-4.40%,"$95,789","$151,029.2",-3,"199,000",-3,View More details about Walt Disney
56,Humana,"$53,767",-1.10%,"$2,448",298.70%,"$27,178","$37,122",-3,"45,900",-3,View More details about Humana
57,Pfizer,"$52,546",-0.50%,"$21,308",195.30%,"$171,797","$211,115.3",-3,"90,200",-3,View More details about Pfizer
58,HP,"$52,056",7.90%,"$2,526",1.20%,"$32,913","$35,893.3",3,"49,000",3,View More details about HP
59,Lockheed Martin,"$51,048",0.80%,"$2,002",-62.20%,"$46,521","$96,588.6",-3,"100,000",-3,View More details about Lockheed Martin
60,AIG,"$49,520",-5.40%,"$-6,084",-,"$498,301","$49,144.7",-5,"49,800",-5,View More details about AIG
61,Centene,"$48,572",19.30%,$828,47.30%,"$21,855","$18,703.5",5,"33,700",5,View More details about Centene
62,Cisco Systems,"$48,005",-2.50%,"$9,609",-10.50%,"$129,818","$206,623.3",-2,"72,900",-2,View More details about Cisco Systems
63,HCA Healthcare,"$47,653",6.50%,"$2,216",-23.30%,"$36,593","$34,165.1",-,"221,491",-,View More details about HCA Healthcare
64,Energy Transfer,"$47,487",26.60%,$954,-4.10%,"$86,246","$15,334.7",15,"29,486",15,View More details about Energy Transfer
65,Caterpillar,"$45,462",18%,$754,-,"$76,962","$88,078.1",9,"98,400",9,View More details about Caterpillar
66,Nationwide,"$43,939.9",9.60%,$246.5,-26.20%,"$221,256.9",-,2,"33,135",2,View More details about Nationwide
67,Morgan Stanley,"$43,642",15%,"$6,111",2.20%,"$851,733","$96,688",9,"57,633",9,View More details about Morgan Stanley
68,Liberty Mutual Insurance Group,"$42,687",11.40%,$17,-98.30%,"$142,502",-,7,"50,000",7,View More details about Liberty Mutual Insurance Group
69,New York Life Insurance,"$42,296",3.70%,"$1,866.9",71.60%,"$303,182.8",-,-4,"11,114",-4,View More details about New York Life Insurance
70,Goldman Sachs Group,"$42,254",12%,"$4,286",-42.10%,"$916,776","$95,462.5",8,"36,600",8,View More details about Goldman Sachs Group
71,American Airlines Group,"$42,207",5%,"$1,919",-28.30%,"$51,396","$24,584.3",-4,"126,600",-4,View More details about American Airlines Group
