rank,company,revenues,revenue_percent_change,profits,profits_percent_change,assets,market_value,change_in_rank_1000,employees,change_in_rank_500,link
135,Occidental Petroleum,"$26,772",60.50%,"$2,322",-,"$75,036","$53,160.2",48,"11,678",48,View More details about Occidental Petroleum
136,Salesforce,"$26,492",24.70%,"$1,444",-64.50%,"$95,209","$210,196.8",1,"73,541",1,View More details about Salesforce
137,Dollar Tree,"$26,321.2",3.20%,"$1,327.9",-1%,"$21,721.8","$36,051.4",-26,"136,226",-26,View More details about Dollar Tree
138,KKR,"$26,141.3",171.50%,"$4,666.5",133%,"$264,285.4","$51,542.9",178,"3,238",178,View More details about KKR
139,Kraft Heinz,"$26,042",-0.50%,"$1,012",184.30%,"$93,394","$48,248.6",-29,"36,000",-29,View More details about Kraft Heinz
140,Amgen,"$25,979",2.20%,"$5,893",-18.90%,"$61,165","$134,700.8",-28,"24,200",-28,View More details about Amgen
141,AutoNation,"$25,844",26.70%,"$1,373",259.80%,"$8,943.6","$6,111.4",4,"22,200",4,View More details about AutoNation
142,Penske Automotive Group,"$25,554.7",25%,"$1,187.8",118.50%,"$13,464.6","$7,196.7",1,"24,797",1,View More details about Penske Automotive Group
143,PayPal Holdings,"$25,371",18.30%,"$4,169",-0.80%,"$75,803","$134,732.8",-9,"30,900",-9,View More details about PayPal Holdings
144,Macy's,"$25,292",39.80%,"$1,430",-,"$17,590","$7,123.2",20,"88,857",20,View More details about Macy's
145,Duke Energy,"$24,677",5.20%,"$3,908",183.80%,"$169,587","$85,967",-19,"27,605",-19,View More details about Duke Energy
146,United Airlines Holdings,"$24,634",60.40%,"$-1,964",-,"$68,175","$15,049.7",54,"84,100",54,View More details about United Airlines Holdings
147,Visa,"$24,105",10.30%,"$12,311",13.30%,"$82,896","$480,022.5",-14,"21,500",-14,View More details about Visa
148,Rite Aid,"$24,043.4",9.60%,$-90.9,-,"$9,335.4",$488.1,-16,"50,000",-16,View More details about Rite Aid
149,Cummins,"$24,021",21.30%,"$2,131",19.10%,"$23,710","$29,140.9",1,"59,900",1,View More details about Cummins
150,U.S. Bancorp,"$23,714",-6%,"$7,963",60.60%,"$573,284","$78,929.8",-37,"68,796",-37,View More details about U.S. Bancorp
151,Paccar,"$23,522.3",25.60%,"$1,852.1",42.60%,"$29,301.7","$30,619.7",8,"28,500",8,View More details about Paccar
152,McDonald's,"$23,222.9",20.90%,"$7,545.2",59.50%,"$53,854.3","$183,873.6",5,"200,000",5,View More details about McDonald's
153,Southern,"$23,113",13.40%,"$2,393",-23.30%,"$127,534","$76,877",-7,"27,164",-7,View More details about Southern
154,C.H. Robinson Worldwide,"$23,102.1",42.50%,$844.2,66.70%,"$7,028.1","$13,855.8",37,"16,877",37,View More details about C.H. Robinson Worldwide
155,Truist Financial,"$23,064",-5.60%,"$6,440",43.70%,"$541,241","$75,353.9",-36,"51,462",-36,View More details about Truist Financial
156,Applied Materials,"$23,063",34.10%,"$5,888",62.70%,"$25,825","$116,431.4",20,"27,000",20,View More details about Applied Materials
157,Freeport-McMoRan,"$22,845",60.90%,"$4,306",618.90%,"$48,022","$72,360.8",58,"24,700",58,View More details about Freeport-McMoRan
158,Lithia Motors,"$22,831.7",74%,"$1,060",125.40%,"$11,146.9","$8,909.8",73,"21,150",73,View More details about Lithia Motors
159,Blackstone,"$22,577.1",270%,"$5,857.4",460.30%,"$41,196.4","$88,907.2",295,"3,795",295,View More details about Blackstone
160,Hartford Insurance Group,"$22,390",9.10%,"$2,365",36.20%,"$76,578","$23,815.6",-18,"18,100",-18,View More details about Hartford Insurance Group
161,Aflac,"$22,106",-0.20%,"$4,325",-9.50%,"$157,542","$41,812.8",-30,"12,447",-30,View More details about Aflac
162,Whirlpool,"$21,985",13%,"$1,783",64.90%,"$20,285","$10,101.2",-8,"69,000",-8,View More details about Whirlpool
163,Union Pacific,"$21,804",11.60%,"$6,523",21.90%,"$63,525","$171,681.6",-10,"32,124",-10,View More details about Union Pacific
164,International Paper,"$21,780",5.80%,"$1,752",263.50%,"$25,243","$17,301.1",-23,"38,200",-23,View More details about International Paper
165,Altria Group,"$21,111",1.30%,"$2,475",-44.60%,"$39,523","$94,951.7",-27,"6,000",-27,View More details about Altria Group
166,CDW,"$20,820.8",12.70%,$988.6,25.40%,"$13,199.4","$24,140.2",-5,"13,900",-5,View More details about CDW
167,ManpowerGroup,"$20,724.4",15.10%,$382.4,1506.70%,"$9,828.9","$5,025.6",-2,"30,000",-2,View More details about ManpowerGroup
168,PG&E,"$20,642",11.80%,$-102,-,"$103,327","$29,433.7",-8,"26,000",-8,View More details about PG&E
169,Carrier Global,"$20,613",18.10%,"$1,664",-16%,"$26,172","$39,127.4",2,"58,000",2,View More details about Carrier Global
170,Baker Hughes,"$20,502",-1%,$-219,-,"$35,308","$37,410.2",-30,"54,000",-30,View More details about Baker Hughes
171,Cleveland-Cliffs,"$20,444",281.80%,"$2,988",-,"$18,975","$16,891.2",330,"26,000",-,View More details about Cleveland-Cliffs
172,United States Steel,"$20,275",108.10%,"$4,174",-,"$17,816","$9,832.3",138,"24,540",138,View More details about United States Steel
173,Becton Dickinson,"$20,248",18.30%,"$2,092",139.40%,"$53,866","$75,749.1",4,"75,000",4,View More details about Becton Dickinson
174,CarMax,"$20,092.1",-6.20%,$746.9,-15.90%,"$21,541.5","$15,598.9",-38,"26,889",-38,View More details about CarMax
175,Sherwin-Williams,"$19,944.6",8.60%,"$1,864.4",-8.20%,"$20,666.7","$65,037.9",-13,"61,626",-13,View More details about Sherwin-Williams
176,Builders FirstSource,"$19,893.9",132.40%,"$1,725.4",450.30%,"$10,714.3","$11,408.9",174,"28,000",174,View More details about Builders FirstSource
177,Marsh & McLennan,"$19,820",15.10%,"$3,143",55.90%,"$34,388","$85,681.3",-2,"83,000",-2,View More details about Marsh & McLennan
178,PNC Financial Services Group,"$19,698",-18.10%,"$5,674",-24.50%,"$557,191","$77,203.4",-58,"58,547",-58,View More details about PNC Financial Services Group
179,Lumen Technologies,"$19,687",-4.90%,"$2,033",-,"$57,993","$11,533.4",-40,"36,000",-40,View More details about Lumen Technologies
180,Avnet,"$19,534.7",10.80%,$193.1,-,"$8,925.4","$4,016.9",-12,"14,500",-12,View More details about Avnet
181,Tenet Healthcare,"$19,485",10.50%,$914,129.10%,"$27,579","$9,387.6",-14,"88,968",-14,View More details about Tenet Healthcare
182,Kimberly-Clark,"$19,440",1.60%,"$1,814",-22.90%,"$17,837","$41,496.1",-24,"45,000",-24,View More details about Kimberly-Clark
183,Kohl's,"$19,433",21.80%,$938,-,"$15,054","$7,774.6",12,"67,000",12,View More details about Kohl's
184,BlackRock,"$19,374",19.60%,"$5,901",19.60%,"$152,648","$116,186.2",8,"18,400",8,View More details about BlackRock
185,Jones Lang LaSalle,"$19,367",16.70%,$961.6,138.90%,"$15,505","$11,945.5",1,"98,200",1,View More details about Jones Lang LaSalle
186,Lear,"$19,263.1",13%,$373.9,135.90%,"$13,352.4","$8,513.1",-7,"160,100",-7,View More details about Lear
187,Lincoln National,"$19,230",10.30%,"$1,405",181.60%,"$387,301","$11,271.6",-15,"10,848",-15,View More details about Lincoln National
188,Charles Schwab,"$18,996",56.90%,"$5,855",77.50%,"$667,270","$159,675.9",63,"33,400",63,View More details about Charles Schwab
189,Ross Stores,"$18,916.2",50.90%,"$1,722.6",1917.50%,"$13,640.3","$31,741.7",53,"100,000",53,View More details about Ross Stores
190,Mastercard,"$18,884",23.40%,"$8,687",35.50%,"$37,669","$349,330.5",11,"24,000",11,View More details about Mastercard
191,Genuine Parts,"$18,870.5",8.50%,$898.8,-,"$14,352.1","$17,888.1",-18,"52,000",-18,View More details about Genuine Parts
192,WestRock,"$18,746.1",6.60%,$838.3,-,"$29,254.3","$12,379",-22,"49,900",-22,View More details about WestRock
193,EOG Resources,"$18,642",69%,"$4,664",-,"$38,236","$69,796",92,"2,800",92,View More details about EOG Resources
194,Cognizant Technology Solutions,"$18,507",11.10%,"$2,137",53.50%,"$17,852","$47,035",-9,"330,600",-9,View More details about Cognizant Technology Solutions
195,Moderna,"$18,471",2199.10%,"$12,202",-,"$24,669","$69,424.3",-,"2,700",-,View More details about Moderna
196,Steel Dynamics,"$18,408.9",91.70%,"$3,214.1",483.50%,"$12,531.2","$15,811.5",123,"10,640",123,View More details about Steel Dynamics
197,HF Sinclair,"$18,389.1",64.40%,$558.3,-,"$12,916.6","$8,895.8",82,"4,208",82,View More details about HF Sinclair
198,Texas Instruments,"$18,344",26.90%,"$7,769",38.90%,"$24,676","$169,329.6",12,"31,000",12,View More details about Texas Instruments
199,Emerson Electric,"$18,236",8.60%,"$2,303",17.20%,"$24,715","$58,241.7",-18,"86,700",-18,View More details about Emerson Electric
200,WESCO International,"$18,217.5",47.80%,$465.4,362.80%,"$12,617.7","$6,598.5",45,"18,000",45,View More details about WESCO International
201,General Mills,"$18,127",2.80%,"$2,339.8",7.30%,"$31,841.9","$40,781.8",-32,"35,000",-32,View More details about General Mills
202,Tenneco,"$18,035",17.30%,$35,-,"$11,622","$1,523",-3,"71,000",-3,View More details about Tenneco
203,Waste Management,"$17,931",17.80%,"$1,816",21.40%,"$29,097","$65,802.8",-1,"48,500",-1,View More details about Waste Management
204,Viatris,"$17,886.3",49.70%,"$-1,269.1",-,"$54,842.8","$13,160.2",50,"37,000",50,View More details about Viatris
205,DISH Network,"$17,881.1",15.40%,"$2,410.6",36.80%,"$48,001.7","$16,743.1",-8,"14,500",-8,View More details about DISH Network
206,L3Harris Technologies,"$17,814",-2.10%,"$1,846",65%,"$34,709","$47,969.6",-43,"47,000",-43,View More details about L3Harris Technologies
207,DXC Technology,"$17,729",-9.40%,$-149,-,"$22,038","$7,977.3",-55,"134,000",-55,View More details about DXC Technology
208,Block,"$17,661.2",86%,$166.3,-22%,"$13,925.8","$78,655.9",115,"8,521",115,View More details about Block
209,Goodyear Tire & Rubber,"$17,478",41.90%,$764,-,"$21,402","$4,029.3",37,"72,000",37,View More details about Goodyear Tire & Rubber
210,Uber Technologies,"$17,455",56.70%,$-496,-,"$38,774","$69,753",71,"29,300",71,View More details about Uber Technologies
211,Colgate-Palmolive,"$17,421",5.80%,"$2,166",-19.60%,"$15,040","$63,742.2",-23,"33,800",-23,View More details about Colgate-Palmolive
212,Stanley Black & Decker,"$17,252.7",18.70%,"$1,689.2",36.90%,"$28,180","$22,843.3",-3,"71,300",-3,View More details about Stanley Black & Decker
