rank,company,revenues,revenue_percent_change,profits,profits_percent_change,assets,market_value,change_in_rank_1000,employees,change_in_rank_500,link
1,Walmart,"$572,754",2.40%,"$13,673",1.20%,"$244,860","$409,795",-,"2,300,000",-,View More details about Walmart
2,Amazon,"$469,822",21.70%,"$33,364",56.40%,"$420,549","$1,658,807.3",-,"1,608,000",-,View More details about Amazon
3,Apple,"$365,817",33.30%,"$94,680",64.90%,"$351,002","$2,849,537.6",-,"154,000",-,View More details about Apple
4,CVS Health,"$292,111",8.70%,"$7,910",10.20%,"$232,999","$132,839.2",-,"258,000",-,View More details about CVS Health
5,UnitedHealth Group,"$287,597",11.80%,"$17,285",12.20%,"$212,206","$479,830.3",-,"350,000",-,View More details about UnitedHealth Group
6,ExxonMobil Holdings,"$285,640",57.40%,"$23,040",-,"$338,923","$349,652.4",4,"63,000",4,View More details about ExxonMobil Holdings
7,Berkshire Hathaway,"$276,094",12.50%,"$89,795",111.20%,"$958,784","$779,542.3",-1,"372,000",-1,View More details about Berkshire Hathaway
8,Alphabet,"$257,637",41.20%,"$76,033",88.80%,"$359,268","$1,842,326.1",1,"156,500",1,View More details about Alphabet
9,McKesson,"$238,228",3.10%,"$-4,539",-604.30%,"$65,015","$45,857.8",-2,"67,500",-2,View More details about McKesson
10,Cencora,"$213,988.8",12.70%,"$1,539.9",-,"$57,337.8","$32,355.7",-2,"40,000",-2,View More details about Cencora
11,Costco Wholesale,"$195,929",17.50%,"$5,007",25.10%,"$59,268","$255,230.7",1,"288,000",1,View More details about Costco Wholesale
12,Cigna Group,"$174,078",8.50%,"$5,365",-36.60%,"$154,889","$76,286.3",1,"72,963",1,View More details about Cigna Group
13,AT&T,"$168,864",-1.70%,"$20,081",-,"$551,622","$169,262.4",-2,"202,600",-2,View More details about AT&T
14,Microsoft,"$168,088",17.50%,"$61,271",38.40%,"$333,779","$2,311,358.9",1,"181,000",1,View More details about Microsoft
15,Cardinal Health,"$162,467",6.20%,$611,-,"$44,453","$15,709.4",-1,"46,827",-1,View More details about Cardinal Health
16,Chevron,"$162,465",71.60%,"$15,625",-,"$239,535","$317,120.1",11,"42,595",11,View More details about Chevron
17,Home Depot,"$151,157",14.40%,"$16,433",27.70%,"$71,876","$309,312.6",1,"490,600",1,View More details about Home Depot
18,Walgreens Boots Alliance,"$148,579",6.50%,"$2,542",457.50%,"$81,285","$38,671.1",-2,"258,500",-2,View More details about Walgreens Boots Alliance
19,Marathon Petroleum,"$141,032",58.50%,"$9,738",-,"$85,373","$47,758.1",13,"17,700",13,View More details about Marathon Petroleum
20,Elevance Health,"$138,639",13.80%,"$6,104",33.50%,"$97,460","$118,533.5",3,"98,200",3,View More details about Elevance Health
21,Kroger,"$137,888",4.10%,"$1,655",-36%,"$49,086","$41,496.2",-4,"420,000",-4,View More details about Kroger
22,Ford Motor,"$136,341",7.20%,"$17,937",-,"$257,035","$67,958.2",-1,"183,000",-1,View More details about Ford Motor
23,Verizon Communications,"$133,613",4.10%,"$22,065",24%,"$366,596","$213,837.1",-3,"118,400",-3,View More details about Verizon Communications
24,JPMorgan Chase,"$127,202",-1.80%,"$48,334",65.90%,"$3,743,567","$402,526.9",-5,"271,025",-5,View More details about JPMorgan Chase
25,General Motors,"$127,004",3.70%,"$10,019",55.90%,"$244,718","$63,555.2",-3,"157,000",-3,View More details about General Motors
26,Centene,"$125,982",13.40%,"$1,347",-25.50%,"$78,375","$49,072.2",-2,"72,500",-2,View More details about Centene
27,Meta Platforms,"$117,929",37.20%,"$39,370",35.10%,"$165,987","$605,251",7,"71,970",7,View More details about Meta Platforms
28,Comcast,"$116,385",12.40%,"$14,159",34.40%,"$275,905","$212,245.8",-2,"189,000",-2,View More details about Comcast
29,Phillips 66,"$114,852",75.40%,"$1,317",-,"$55,594","$41,561",19,"14,000",19,View More details about Phillips 66
30,Valero Energy,"$108,332",80.20%,$930,-,"$57,888","$41,572.2",23,"9,804",23,View More details about Valero Energy
31,Dell Technologies,"$106,995",13.60%,"$5,563",71.20%,"$92,735","$38,164.4",-3,"133,000",-3,View More details about Dell Technologies
32,Target,"$106,005",13.30%,"$6,946",59%,"$53,811","$98,134.4",-2,"450,000",-2,View More details about Target
33,Fannie Mae,"$101,543",-4.60%,"$22,176",87.90%,"$4,229,166",$909.1,-8,"7,400",-8,View More details about Fannie Mae
34,UPS,"$97,287",15%,"$12,890",859.80%,"$69,405","$186,816.6",1,"400,945",1,View More details about UPS
35,Lowe's,"$96,250",7.40%,"$8,442",44.70%,"$44,640","$133,761.1",-4,"270,000",-4,View More details about Lowe's
36,Bank of America,"$93,851",0.10%,"$31,978",78.70%,"$3,169,495","$332,433.3",-7,"208,248",-7,View More details about Bank of America
37,Johnson & Johnson,"$93,775",13.60%,"$20,878",41.90%,"$182,018","$466,046.7",-1,"141,700",-1,View More details about Johnson & Johnson
38,Archer Daniels Midland,"$85,249",32.50%,"$2,709",52.90%,"$56,136","$50,769.2",13,"39,979",13,View More details about Archer Daniels Midland
39,FedEx,"$83,959",21.30%,"$5,231",306.80%,"$82,777","$59,971.3",6,"484,000",6,View More details about FedEx
40,Humana,"$83,064",7.70%,"$2,933",-12.90%,"$44,358","$55,154.9",1,"95,500",1,View More details about Humana
41,Wells Fargo,"$82,407",2.60%,"$21,548",552.80%,"$1,948,068","$184,225",-4,"247,848",-4,View More details about Wells Fargo
42,State Farm Insurance,"$82,224.7",4.20%,"$1,280.9",-65.70%,"$325,349.3",-,-3,"53,586",-3,View More details about State Farm Insurance
43,Pfizer,"$81,288",94%,"$21,979",128.60%,"$181,476","$292,385.3",34,"79,000",34,View More details about Pfizer
44,Citigroup,"$79,865",-10.10%,"$21,952",98.70%,"$2,291,413","$105,330.1",-11,"221,768",-11,View More details about Citigroup
45,PepsiCo,"$79,474",12.90%,"$7,618",7%,"$92,377","$231,528.2",-1,"309,000",-1,View More details about PepsiCo
46,Intel,"$79,024",1.50%,"$19,868",-4.90%,"$168,406","$202,635.8",-6,"121,100",-6,View More details about Intel
47,Procter & Gamble,"$76,118",7.30%,"$14,306",9.80%,"$119,307","$366,271.6",-4,"101,000",-4,View More details about Procter & Gamble
48,GE Aerospace,"$74,196",-6.80%,"$-6,520",-214.30%,"$198,874","$100,810.2",-10,"168,000",-10,View More details about GE Aerospace
49,IBM,"$72,344",-1.70%,"$5,743",2.70%,"$132,001","$116,928.3",-7,"297,800",-7,View More details about IBM
50,MetLife,"$71,080",4.80%,"$6,554",21.20%,"$759,708","$57,986.5",-4,"43,000",-4,View More details about MetLife
51,Prudential Financial,"$70,934",24.40%,"$7,724",-,"$937,582","$44,482.2",4,"40,916",4,View More details about Prudential Financial
52,Albertsons,"$69,690.4",11.60%,$850.2,82.30%,"$26,598","$16,063.7",-,"300,000",-,View More details about Albertsons
53,Walt Disney,"$67,418",3.10%,"$1,995",-,"$203,609","$249,718.1",-3,"171,000",-3,View More details about Walt Disney
54,Energy Transfer,"$67,417",73.10%,"$5,470",-,"$105,963","$34,496.9",27,"12,558",27,View More details about Energy Transfer
55,Lockheed Martin,"$67,044",2.50%,"$6,315",-7.60%,"$50,873","$117,648.2",-6,"114,000",-6,View More details about Lockheed Martin
56,Freddie Mac,"$65,898",-0.50%,"$12,109",65.30%,"$3,025,586",$510.3,-9,"7,301",-9,View More details about Freddie Mac
57,Goldman Sachs Group,"$64,989",21.50%,"$21,635",128.70%,"$1,463,988","$117,667.6",2,"43,900",2,View More details about Goldman Sachs Group
58,RTX,"$64,388",13.80%,"$3,864",-,"$161,404","$147,640.9",-1,"174,000",-1,View More details about RTX
59,HP,"$63,487",12.10%,"$6,503",128.70%,"$38,610","$38,237.2",-3,"51,000",-3,View More details about HP
60,Boeing,"$62,286",7.10%,"$-4,202",-,"$138,552","$113,058.7",-6,"142,000",-6,View More details about Boeing
61,Morgan Stanley,"$61,121",17.40%,"$15,034",36.70%,"$1,188,140","$155,685.6",-,"74,814",-,View More details about Morgan Stanley
62,HCA Healthcare,"$58,752",14%,"$6,956",85.30%,"$50,742","$75,691.9",-,"244,000",-,View More details about HCA Healthcare
63,AbbVie,"$56,197",22.70%,"$11,542",150%,"$146,529","$286,332.4",5,"50,000",5,View More details about AbbVie
64,Dow,"$54,968",42.60%,"$6,311",415.20%,"$62,990","$46,839.7",18,"35,700",18,View More details about Dow
65,Tesla,"$53,823",70.70%,"$5,519",665.50%,"$62,131","$1,113,707.8",35,"99,290",35,View More details about Tesla
66,Allstate,"$53,228",18.80%,"$1,599",-71.30%,"$99,440","$38,553.7",4,"54,500",4,View More details about Allstate
67,AIG,"$52,057",19%,"$9,388",-,"$596,112","$50,608.2",5,"36,600",5,View More details about AIG
68,Best Buy,"$51,761",9.50%,"$2,454",36.50%,"$17,504","$20,473.2",-2,"81,375",-2,View More details about Best Buy
69,Charter Communications,"$51,682",7.50%,"$4,654",44.40%,"$142,491","$112,803.4",-5,"93,700",-5,View More details about Charter Communications
70,Sysco,"$51,297.8",-3%,$524.2,143.30%,"$21,413.5","$41,433.1",-10,"57,710",-10,View More details about Sysco
71,Merck,"$51,216",6.70%,"$13,049",84.60%,"$105,694","$207,400.5",-6,"67,500",-6,View More details about Merck
72,New York Life Insurance,"$51,198.5",9.60%,$277.1,-,"$379,984.6",-,-5,"14,344",-5,View More details about New York Life Insurance
73,Caterpillar,"$50,971",22.10%,"$6,489",116.40%,"$82,793","$119,406.6",5,"107,700",5,View More details about Caterpillar
74,Cisco Systems,"$49,818",1%,"$10,591",-5.60%,"$97,497","$231,636.4",-11,"79,500",-11,View More details about Cisco Systems
75,TJX,"$48,550",51.10%,"$3,282.8",3528.60%,"$28,461.5","$71,195.3",22,"340,000",22,View More details about TJX
76,Publix Super Markets,"$48,393.9",7.10%,"$4,412.2",11.10%,"$31,524.3",-,-7,"232,000",-7,View More details about Publix Super Markets
77,ConocoPhillips,"$48,349",151.10%,"$8,079",-,"$90,661","$129,605.1",79,"9,900",79,View More details about ConocoPhillips
78,Liberty Mutual Insurance Group,"$48,200",10.10%,"$3,068",304.70%,"$156,043",-,-7,"45,000",-7,View More details about Liberty Mutual Insurance Group
79,Progressive,"$47,702",11.80%,"$3,350.9",-41.30%,"$71,132.3","$66,670.3",-5,"49,077",-5,View More details about Progressive
80,Nationwide,"$47,376",13%,"$1,617.2",-,"$278,412.2",-,-4,"24,134",-4,View More details about Nationwide
81,Tyson Foods,"$47,049",8.90%,"$3,047",47.80%,"$36,309","$32,487.8",-8,"137,000",-8,View More details about Tyson Foods
82,Bristol-Myers Squibb,"$46,385",9.10%,"$6,994",-,"$109,314","$155,203.5",-7,"32,200",-7,View More details about Bristol-Myers Squibb
83,Nike,"$44,538",19.10%,"$5,727",125.60%,"$37,740","$212,779.1",2,"73,300",2,View More details about Nike
84,Deere,"$44,024",23.90%,"$5,963",116.80%,"$84,114","$127,456.6",4,"75,550",4,View More details about Deere
85,American Express,"$43,663",14.30%,"$8,060",157.10%,"$188,548","$141,613",-2,"64,000",-2,View More details about American Express
86,Abbott Laboratories,"$43,075",24.50%,"$7,071",57.30%,"$75,196","$208,725.8",3,"113,000",3,View More details about Abbott Laboratories
87,StoneX Group,"$42,534.2",-21.40%,$116.3,-31.40%,"$18,839.6","$1,494.4",-29,"3,242",-29,View More details about StoneX Group
88,Plains GP Holdings,"$42,078",80.70%,$60,-,"$29,978","$2,242.9",39,"4,100",39,View More details about Plains GP Holdings
89,Enterprise Products Partners,"$40,806.9",50%,"$4,637.7",22.80%,"$67,525.6","$56,172.4",16,"6,911",16,View More details about Enterprise Products Partners
90,TIAA,"$40,526.4",-2.60%,"$4,060.7",627.60%,"$698,190.8",-,-11,"15,065",-11,View More details about TIAA
91,Oracle,"$40,479",3.60%,"$13,746",35.60%,"$131,107","$220,736.6",-11,"132,000",-11,View More details about Oracle
92,Thermo Fisher Scientific,"$39,211",21.70%,"$7,725",21.20%,"$95,123","$231,057.4",3,"129,000",3,View More details about Thermo Fisher Scientific
93,Coca-Cola,"$38,655",17.10%,"$9,771",26.10%,"$94,354","$268,769.7",-,"79,000",-,View More details about Coca-Cola
94,General Dynamics,"$38,469",1.40%,"$3,257",2.80%,"$50,073","$67,081",-10,"103,100",-10,View More details about General Dynamics
95,CHS,"$38,448",35.40%,$554,31.10%,"$17,576.3",-,8,"9,941",8,View More details about CHS
96,USAA,"$37,469.6",3.20%,"$3,300",-15.50%,"$210,676.5",-,-9,"37,335",-9,View More details about USAA
97,Northwestern Mutual,"$36,751.2",8.80%,$977.8,130.10%,"$334,653.8",-,-7,"7,585",-7,View More details about Northwestern Mutual
98,Nucor,"$36,483.9",81.20%,"$6,827.5",846.30%,"$25,823.1","$39,954",51,"28,800",51,View More details about Nucor
99,Exelon,"$36,347",10%,"$1,706",-13.10%,"$133,013","$46,683.9",-7,"31,518",-7,View More details about Exelon
100,Massachusetts Mutual Life,"$35,899.5",51.70%,$319.3,-,"$383,292.4",-,23,"10,052",23,View More details about Massachusetts Mutual Life
101,Northrop Grumman,"$35,667",-3.10%,"$7,005",119.70%,"$42,579","$69,811.9",-15,"88,000",-15,View More details about Northrop Grumman
102,3M,"$35,355",9.90%,"$5,921",10%,"$47,072","$84,738.3",-6,"95,000",-6,View More details about 3M
103,Travelers,"$34,816",8.90%,"$3,662",35.80%,"$120,466","$44,129.4",-5,"30,492",-5,View More details about Travelers
104,Arrow Electronics,"$34,477",20.20%,"$1,108.2",89.60%,"$19,535.5","$7,951.3",-2,"20,700",-2,View More details about Arrow Electronics
105,Honeywell International,"$34,392",5.40%,"$5,542",16%,"$64,470","$133,381",-11,"99,000",-11,View More details about Honeywell International
106,Dollar General,"$34,220.4",1.40%,"$2,399.2",-9.60%,"$26,327.4","$50,953",-15,"163,000",-15,View More details about Dollar General
107,Qualcomm,"$33,566",42.60%,"$9,043",74%,"$41,240","$172,228.1",17,"45,000",17,View More details about Qualcomm
108,Capital One Financial,"$32,033",1.20%,"$12,390",356.50%,"$432,381","$53,260.4",-9,"50,767",-9,View More details about Capital One Financial
109,TD Synnex,"$31,614.2",28.10%,$395.1,-25.30%,"$27,666.4","$9,853.6",8,"27,000",8,View More details about TD Synnex
110,Philip Morris International,"$31,405",9.40%,"$9,109",13.10%,"$41,290","$145,614.7",-9,"69,600",-9,View More details about Philip Morris International
111,World Kinect,"$31,337",53.90%,$73.7,-32.80%,"$5,942.4","$1,715.5",36,"4,414",36,View More details about World Kinect
112,Performance Food Group,"$30,398.9",21.20%,$40.7,-,"$7,845.7","$7,880.9",2,"22,885",2,View More details about Performance Food Group
113,Delta Air Lines,"$29,899",74.90%,$280,-,"$72,459","$25,322",65,"83,000",65,View More details about Delta Air Lines
114,American Airlines Group,"$29,882",72.40%,"$-1,993",-,"$66,467","$11,847.2",60,"123,400",60,View More details about American Airlines Group
115,Netflix,"$29,697.8",18.80%,"$5,116.2",85.30%,"$44,584.7","$166,304.1",-,"11,300",-,View More details about Netflix
116,Paramount Skydance,"$29,579",13%,"$4,543",87.60%,"$58,620","$24,628.8",-7,"25,115",-7,View More details about Paramount Skydance
117,US Foods Holding,"$29,487",28.80%,$164,-,"$12,521","$8,392.3",11,"28,000",11,View More details about US Foods Holding
118,Danaher,"$29,453",32.20%,"$6,433",76.40%,"$83,184","$209,993.4",12,"79,000",12,View More details about Danaher
119,Jabil,"$29,285",7.40%,$696,1191%,"$16,654","$8,857.3",-15,"238,000",-15,View More details about Jabil
120,Starbucks,"$29,060.6",23.60%,"$4,199.3",352.40%,"$31,392.6","$104,642.8",5,"383,000",5,View More details about Starbucks
121,Mondelez International,"$28,720",8%,"$4,300",21%,"$67,092","$87,159.2",-13,"79,000",-13,View More details about Mondelez International
122,Eli Lilly,"$28,318.4",15.40%,"$5,581.7",-9.90%,"$48,806","$272,723.6",-4,"35,238",-4,View More details about Eli Lilly
123,Hewlett Packard Enterprise,"$27,784",3%,"$3,427",-,"$57,699","$21,725.3",-17,"60,400",-17,View More details about Hewlett Packard Enterprise
124,D.R. Horton,"$27,774.2",36.70%,"$4,175.8",75.90%,"$24,015.9","$26,403.2",24,"11,788",24,View More details about D.R. Horton
125,Molina Healthcare,"$27,771",43%,$659,-2.10%,"$12,209","$19,572.9",30,"14,000",30,View More details about Molina Healthcare
126,CBRE Group,"$27,746",16.50%,"$1,836.6",144.20%,"$22,073.5","$30,414.2",-4,"105,000",-4,View More details about CBRE Group
127,Micron Technology,"$27,705",29.30%,"$5,861",118.10%,"$58,849","$86,977.2",8,"43,000",8,View More details about Micron Technology
128,Broadcom,"$27,450",14.90%,"$6,736",127.60%,"$75,570","$257,086.5",-7,"20,000",-7,View More details about Broadcom
129,Gilead Sciences,"$27,305",10.60%,"$6,225",4961%,"$67,952","$74,656.5",-13,"14,400",-13,View More details about Gilead Sciences
130,PBF Energy,"$27,253.4",80.30%,$231,-,"$11,641.4","$2,932.6",73,"3,418",73,View More details about PBF Energy
131,Lennar,"$27,130.7",20.60%,"$4,430.1",79.70%,"$33,207.8","$23,413",-2,"10,753",-2,View More details about Lennar
132,United Natural Foods,"$26,992",0.90%,$149,-,"$7,525","$2,409.3",-25,"28,300",-25,View More details about United Natural Foods
133,NRG Energy,"$26,989",196.80%,"$2,187",328.80%,"$23,182","$9,289",200,"6,635",200,View More details about NRG Energy
134,Nvidia,"$26,914",61.40%,"$9,752",125.10%,"$44,187","$684,878.6",50,"22,473",50,View More details about Nvidia
