year,company,company_alt_names,rank,CEO,CEO_alt_names,second_CEO,second_CEO_alt_names,third_CEO,third_CEO_alt_names,wiki_page_snapshot,wiki_page_live
2026,Dick's Sporting Goods,,258,Lauren Hobart,Lauren R. Hobart,,,,,https://en.wikipedia.org/wiki/Dick%27s_Sporting_Goods,https://en.wikipedia.org/wiki/Dick%27s_Sporting_Goods
2026,Devon Energy,,259,Clay Gaspar,,,,,,https://en.wikipedia.org/wiki/Devon_Energy,https://en.wikipedia.org/wiki/Devon_Energy
2026,Leidos Holdings,,260,Thomas Bell,Thomas A. Bell,,,,,https://en.wikipedia.org/wiki/Leidos,https://en.wikipedia.org/wiki/Leidos
2026,Aflac,,261,Dan Amos,,,,,,https://en.wikipedia.org/wiki/Aflac,https://en.wikipedia.org/wiki/Aflac
2026,Targa Resources,,262,Matthew J. Meloy,Matthew Meloy; Matt Meloy,,,,,https://en.wikipedia.org/wiki/Targa_Resources,https://en.wikipedia.org/wiki/Targa_Resources
2026,Murphy USA,,263,Mindy West,,,,,,https://en.wikipedia.org/wiki/Murphy_USA,https://en.wikipedia.org/wiki/Murphy_USA
2026,LPL Financial Holdings,,264,Rich Steinmeier,,,,,,https://en.wikipedia.org/wiki/LPL_Financial,https://en.wikipedia.org/wiki/LPL_Financial
2026,EMCOR Group,,265,Anthony J. Guzzi,,,,,,https://en.wikipedia.org/wiki/Emcor,https://en.wikipedia.org/wiki/Emcor
2026,Kinder Morgan,,266,Kimberly A. Dang,,,,,,https://en.wikipedia.org/wiki/Kinder_Morgan,https://en.wikipedia.org/wiki/Kinder_Morgan
2026,Consolidated Edison,,267,Tim Cawley,,,,,,https://en.wikipedia.org/wiki/Consolidated_Edison,https://en.wikipedia.org/wiki/Consolidated_Edison
2026,Keurig Dr Pepper,,268,Timothy Cofer,,,,,,https://en.wikipedia.org/wiki/Keurig_Dr_Pepper,https://en.wikipedia.org/wiki/Keurig_Dr_Pepper
2026,Republic Services,,269,Jon Vander Ark,,,,,,https://en.wikipedia.org/wiki/Republic_Services,https://en.wikipedia.org/wiki/Republic_Services
2026,Markel Group,Markel,270,Thomas S. Gayner,Thomas Gayner,,,,,https://en.wikipedia.org/wiki/Markel_Group,https://en.wikipedia.org/wiki/Markel_Group
2026,Farmers Insurance Exchange,,271,Raul Vargas,,,,,,https://en.wikipedia.org/wiki/Farmers_Insurance_Group,https://en.wikipedia.org/wiki/Farmers_Insurance_Group
2026,Dominion Energy,,272,Robert Blue,Robert M. Blue,,,,,https://en.wikipedia.org/wiki/Dominion_Energy,https://en.wikipedia.org/wiki/Dominion_Energy
2026,Land O'Lakes,,273,Beth Ford,Beth E. Ford,,,,,https://en.wikipedia.org/wiki/Land_O%27Lakes,https://en.wikipedia.org/wiki/Land_O%27Lakes
2026,IQVIA Holdings,,274,Ari Bousbib,,,,,,https://en.wikipedia.org/wiki/IQVIA,https://en.wikipedia.org/wiki/IQVIA
2026,Fox,,275,Lachlan Murdoch,Lachlan K. Murdoch,,,,,https://en.wikipedia.org/wiki/Fox_Corporation,https://en.wikipedia.org/wiki/Fox_Corporation
2026,AECOM,,276,W. Troy Rudd,Troy Rudd,,,,,https://en.wikipedia.org/wiki/AECOM,https://en.wikipedia.org/wiki/AECOM
2026,C.H. Robinson Worldwide,,277,David Bozeman,Dave Bozeman,,,,,https://en.wikipedia.org/wiki/C._H._Robinson,https://en.wikipedia.org/wiki/C._H._Robinson
2026,Bitgo Holdings,,278,Mike Belshe,,,,,,https://en.wikipedia.org/wiki/BitGo,https://en.wikipedia.org/wiki/BitGo
2026,United Rentals,,279,Matthew Flannery,Matthew J. Flannery,,,,,https://en.wikipedia.org/wiki/United_Rentals,https://en.wikipedia.org/wiki/United_Rentals
2026,Ecolab,,280,Christophe Beck,,,,,,https://en.wikipedia.org/wiki/Ecolab,https://en.wikipedia.org/wiki/Ecolab
2026,Illinois Tool Works,,281,Christopher A. O'Herlihy,,,,,,https://en.wikipedia.org/wiki/Illinois_Tool_Works,https://en.wikipedia.org/wiki/Illinois_Tool_Works
2026,Casey's General Stores,,282,Darren Rebelez,,,,,,https://en.wikipedia.org/wiki/Casey%27s,https://en.wikipedia.org/wiki/Casey%27s
2026,Raymond James Financial,,283,Paul Reilly,Paul C. Reilly,,,,,https://en.wikipedia.org/wiki/Raymond_James_Financial,https://en.wikipedia.org/wiki/Raymond_James_Financial
2026,PPG Industries,,284,Tim Knavish,,,,,,https://en.wikipedia.org/wiki/PPG_Industries,https://en.wikipedia.org/wiki/PPG_Industries
2026,DTE Energy,,285,Joi Harris,,,,,,https://en.wikipedia.org/wiki/DTE_Energy,https://en.wikipedia.org/wiki/DTE_Energy
2026,Corning,,286,Wendell P. Weeks,Wendell Weeks,,,,,https://en.wikipedia.org/wiki/Corning_Inc.,https://en.wikipedia.org/wiki/Corning_Inc.
2026,Principal Financial,,287,Deanna Strable-Soethout,Deanna Strable,,,,,https://en.wikipedia.org/wiki/Principal_Financial_Group,https://en.wikipedia.org/wiki/Principal_Financial_Group
2026,Mutual of Omaha,Mutual of Omaha Insurance,288,James Blackledge,James T. Blackledge,,,,,https://en.wikipedia.org/wiki/Mutual_of_Omaha,https://en.wikipedia.org/wiki/Mutual_of_Omaha
2026,Kohl's,,289,Michael Bender,,,,,,https://en.wikipedia.org/wiki/Kohl%27s,https://en.wikipedia.org/wiki/Kohl%27s
2026,Tractor Supply,,290,Hal Lawton,,,,,,https://en.wikipedia.org/wiki/Tractor_Supply_Company,https://en.wikipedia.org/wiki/Tractor_Supply_Company
2026,Whirlpool,,291,Marc Bitzer,Marc R. Bitzer,,,,,https://en.wikipedia.org/wiki/Whirlpool_Corporation,https://en.wikipedia.org/wiki/Whirlpool_Corporation
2026,Fluor,,292,Jim Breuer,,,,,,https://en.wikipedia.org/wiki/Fluor_Corporation,https://en.wikipedia.org/wiki/Fluor_Corporation
2026,Gap,,293,Richard Dickson,,,,,,https://en.wikipedia.org/wiki/Gap_Inc.,https://en.wikipedia.org/wiki/Gap_Inc.
2026,S&P Global,,294,Martina Cheung,,,,,,https://en.wikipedia.org/wiki/S%26P_Global,https://en.wikipedia.org/wiki/S%26P_Global
2026,Ally Financial,,295,Michael G. Rhodes,,,,,,https://en.wikipedia.org/wiki/Ally_Financial,https://en.wikipedia.org/wiki/Ally_Financial
2026,Builders FirstSource,,296,Peter Jackson,,,,,,https://en.wikipedia.org/wiki/Builders_FirstSource,https://en.wikipedia.org/wiki/Builders_FirstSource
2026,Sonic Automotive,,297,David Smith,,,,,,https://en.wikipedia.org/wiki/Sonic_Automotive,https://en.wikipedia.org/wiki/Sonic_Automotive
2026,Stanley Black & Decker,,298,Donald Allan Jr.,Donald Allan; Don Allan,,,,,https://en.wikipedia.org/wiki/Stanley_Black_%26_Decker,https://en.wikipedia.org/wiki/Stanley_Black_%26_Decker
2026,Kenvue,,299,Kirk Perry,,,,,,https://en.wikipedia.org/wiki/Kenvue,https://en.wikipedia.org/wiki/Kenvue
2026,Kyndryl Holdings,,300,Martin Schroeter,Martin J. Schroeter,,,,,https://en.wikipedia.org/wiki/Kyndryl,https://en.wikipedia.org/wiki/Kyndryl
2026,Diamondback Energy,,301,Kaes Van't Hof,,,,,,https://en.wikipedia.org/wiki/Diamondback_Energy,https://en.wikipedia.org/wiki/Diamondback_Energy
2026,EchoStar,,302,Hamid Akhavan,,,,,,https://en.wikipedia.org/wiki/EchoStar,https://en.wikipedia.org/wiki/EchoStar
2026,Textron,,303,Lisa Atherton,,,,,,https://en.wikipedia.org/wiki/Textron,https://en.wikipedia.org/wiki/Textron
2026,Expedia Group,,304,Ariane Gorin,,,,,,https://en.wikipedia.org/wiki/Expedia_Group,https://en.wikipedia.org/wiki/Expedia_Group
2026,W.R. Berkley,,305,W. Robert Berkley Jr.,Robert Berkley,,,,,https://en.wikipedia.org/wiki/W._R._Berkley_Corporation,https://en.wikipedia.org/wiki/W._R._Berkley_Corporation
