year,company,company_alt_names,rank,CEO,CEO_alt_names,second_CEO,second_CEO_alt_names,third_CEO,third_CEO_alt_names,wiki_page_snapshot,wiki_page_live
2026,Avis Budget Group,,380,Brian Choi,,,,,,https://en.wikipedia.org/wiki/Avis_Budget_Group,https://en.wikipedia.org/wiki/Avis_Budget_Group
2026,Conagra Brands,,381,Sean Connolly,Sean M. Connolly,,,,,https://en.wikipedia.org/wiki/Conagra_Brands,https://en.wikipedia.org/wiki/Conagra_Brands
2026,Baxter International,,382,Andrew Hider,,,,,,https://en.wikipedia.org/wiki/Baxter_International,https://en.wikipedia.org/wiki/Baxter_International
2026,Burlington Stores,,383,Michael O'Sullivan,,,,,,https://en.wikipedia.org/wiki/Burlington_(department_store),https://en.wikipedia.org/wiki/Burlington_(department_store)
2026,Caesars Entertainment,,384,Thomas Reeg,Thomas R. Reeg,,,,,https://en.wikipedia.org/wiki/Caesars_Entertainment,https://en.wikipedia.org/wiki/Caesars_Entertainment
2026,Owens Corning,,385,Brian Chambers,Brian D. Chambers,,,,,https://en.wikipedia.org/wiki/Owens_Corning,https://en.wikipedia.org/wiki/Owens_Corning
2026,KeyCorp,,386,Chris Gorman,,,,,,https://en.wikipedia.org/wiki/KeyBank,https://en.wikipedia.org/wiki/KeyBank
2026,Thrivent Financial,Thrivent Financial for Lutherans,387,Teresa J. Rasmussen,Teresa Rasmussen,,,,,https://en.wikipedia.org/wiki/Thrivent,https://en.wikipedia.org/wiki/Thrivent
2026,Westlake,,388,JeanMarc Gilson,,,,,,https://en.wikipedia.org/wiki/Westlake_Corporation,https://en.wikipedia.org/wiki/Westlake_Corporation
2026,Westinghouse Air Brake,Westinghouse Air Brake Technologies,389,Rafael O. Santana,Rafael Santana,,,,,https://en.wikipedia.org/wiki/Westinghouse_Air_Brake_Company,https://en.wikipedia.org/wiki/Westinghouse_Air_Brake_Company
2026,Molson Coors Beverage,,390,Rahul Goyal,,,,,,https://en.wikipedia.org/wiki/Molson_Coors,https://en.wikipedia.org/wiki/Molson_Coors
2026,Lululemon athletica,,391,Calvin McDonald,,,,,,https://en.wikipedia.org/wiki/Lululemon,https://en.wikipedia.org/wiki/Lululemon
2026,FM,,392,Malcolm C. Roberts,Malcolm Roberts,,,,,https://en.wikipedia.org/wiki/FM_(insurance),https://en.wikipedia.org/wiki/FM_(insurance)
2026,Ebay,,393,Jamie Iannone,,,,,,https://en.wikipedia.org/wiki/EBay,https://en.wikipedia.org/wiki/EBay
2026,Expeditors Intl. of Washington,Expeditors International of Washington,394,Dan Wall,,,,,,https://en.wikipedia.org/wiki/Expeditors_International,https://en.wikipedia.org/wiki/Expeditors_International
2026,Quest Diagnostics,,395,Jim Davis,,,,,,https://en.wikipedia.org/wiki/Quest_Diagnostics,https://en.wikipedia.org/wiki/Quest_Diagnostics
2026,Analog Devices,,396,Vincent T. Roche,Vincent Roche,,,,,https://en.wikipedia.org/wiki/Analog_Devices,https://en.wikipedia.org/wiki/Analog_Devices
2026,Andersons,,397,Patrick E. Bowe,Patrick Bowe,,,,,https://en.wikipedia.org/wiki/The_Andersons,https://en.wikipedia.org/wiki/The_Andersons
2026,Gold.com,A-Mark Precious Metals,398,Gregory Roberts,Gregory N. Roberts,,,,,https://en.wikipedia.org/wiki/A-Mark_Precious_Metals,https://en.wikipedia.org/wiki/A-Mark_Precious_Metals
2026,Toll Brothers,,399,Karl Mistry,,,,,,https://en.wikipedia.org/wiki/Toll_Brothers,https://en.wikipedia.org/wiki/Toll_Brothers
2026,International Flavors & Fragrances,,400,Erik Fyrwald,,,,,,https://en.wikipedia.org/wiki/International_Flavors_%26_Fragrances,https://en.wikipedia.org/wiki/International_Flavors_%26_Fragrances
2026,Welltower,,401,Shankh Mitra,,,,,,https://en.wikipedia.org/wiki/Welltower,https://en.wikipedia.org/wiki/Welltower
2026,Jefferies Financial Group,,402,Richard B. Handler,,,,,,https://en.wikipedia.org/wiki/Jefferies_Financial_Group,https://en.wikipedia.org/wiki/Jefferies_Financial_Group
2026,Autoliv,,403,Jan Carlson,,,,,,https://en.wikipedia.org/wiki/Autoliv,https://en.wikipedia.org/wiki/Autoliv
2026,Mohawk Industries,,404,Jeffrey Lorberbaum,Jeffrey S. Lorberbaum,,,,,https://en.wikipedia.org/wiki/Mohawk_Industries,https://en.wikipedia.org/wiki/Mohawk_Industries
2026,Delek US Holdings,,405,Avigal Soreq,,,,,,https://en.wikipedia.org/wiki/Delek_US,https://en.wikipedia.org/wiki/Delek_US
2026,Fidelity National Information (FIS),Fidelity National Information Services,406,Stephanie Ferris,,,,,,https://en.wikipedia.org/wiki/FIS_(company),https://en.wikipedia.org/wiki/FIS_(company)
2026,Accendra Health,,407,Edward A. Pesicka,,,,,,https://en.wikipedia.org/wiki/Accendra_Health,https://en.wikipedia.org/wiki/Accendra_Health
2026,American Tower,,408,Steven Vondran,,,,,,https://en.wikipedia.org/wiki/American_Tower,https://en.wikipedia.org/wiki/American_Tower
2026,NVR,,409,Eugene J. Bredow,Eugene Bredow,,,,,"https://en.wikipedia.org/wiki/NVR,_Inc.","https://en.wikipedia.org/wiki/NVR,_Inc."
2026,Interactive Brokers Group,,410,Milan Galik,,,,,,https://en.wikipedia.org/wiki/Interactive_Brokers,https://en.wikipedia.org/wiki/Interactive_Brokers
2026,Oshkosh,,411,John Pfeifer,John C. Pfeifer,,,,,https://en.wikipedia.org/wiki/Oshkosh_Corporation,https://en.wikipedia.org/wiki/Oshkosh_Corporation
2026,Cintas,,412,Todd Schneider,Todd M. Schneider,,,,,https://en.wikipedia.org/wiki/Cintas,https://en.wikipedia.org/wiki/Cintas
2026,Campbell's,Campbell Soup,413,Mick Beekhuizen,,,,,,https://en.wikipedia.org/wiki/Campbell%27s,https://en.wikipedia.org/wiki/Campbell%27s
2026,Vertiv Holdings,,414,Giordano Albertazzi,,,,,,https://en.wikipedia.org/wiki/Vertiv,https://en.wikipedia.org/wiki/Vertiv
2026,Global Payments,,415,Cameron M. Bready,,,,,,https://en.wikipedia.org/wiki/Global_Payments,https://en.wikipedia.org/wiki/Global_Payments
2026,Constellation Brands,,416,Bill Newlands,,,,,,https://en.wikipedia.org/wiki/Constellation_Brands,https://en.wikipedia.org/wiki/Constellation_Brands
2026,AGCO,,417,Eric Hansotia,Eric P. Hansotia,,,,,https://en.wikipedia.org/wiki/AGCO,https://en.wikipedia.org/wiki/AGCO
2026,Intuitive Surgical,,418,Dave Rosa,,,,,,https://en.wikipedia.org/wiki/Intuitive_Surgical,https://en.wikipedia.org/wiki/Intuitive_Surgical
2026,Ace Hardware,,419,John Venhuizen,,,,,,https://en.wikipedia.org/wiki/Ace_Hardware,https://en.wikipedia.org/wiki/Ace_Hardware
2026,Dana,,420,R. Bruce McDonald,,,,,,https://en.wikipedia.org/wiki/Dana_Incorporated,https://en.wikipedia.org/wiki/Dana_Incorporated
2026,Biogen,,421,Chris Viehbacher,,,,,,https://en.wikipedia.org/wiki/Biogen,https://en.wikipedia.org/wiki/Biogen
2026,News Corp.,,422,Robert James Thomson,,,,,,https://en.wikipedia.org/wiki/News_Corp,https://en.wikipedia.org/wiki/News_Corp
2026,Concentrix,,423,Christopher Caldwell,,,,,,https://en.wikipedia.org/wiki/Concentrix,https://en.wikipedia.org/wiki/Concentrix
2026,WEC Energy Group,,424,Scott Lauber,Scott J. Lauber,,,,,https://en.wikipedia.org/wiki/WEC_Energy_Group,https://en.wikipedia.org/wiki/WEC_Energy_Group
2026,VF,,425,Bracken Darrell,,,,,,https://en.wikipedia.org/wiki/VF_Corporation,https://en.wikipedia.org/wiki/VF_Corporation
2026,Seaboard,,426,Robert L. Steer,Robert Steer,,,,,https://en.wikipedia.org/wiki/Seaboard_Corporation,https://en.wikipedia.org/wiki/Seaboard_Corporation
2026,Icahn Enterprises,,427,Andrew Teno,,,,,,https://en.wikipedia.org/wiki/Icahn_Enterprises,https://en.wikipedia.org/wiki/Icahn_Enterprises
2026,Regions Financial,,428,John M. Turner Jr.,,,,,,https://en.wikipedia.org/wiki/Regions_Financial_Corporation,https://en.wikipedia.org/wiki/Regions_Financial_Corporation
2026,Thor Industries,,429,Bob Martin,,,,,,https://en.wikipedia.org/wiki/Thor_Industries,https://en.wikipedia.org/wiki/Thor_Industries
2026,Workday,,430,Aneel Bhusri,,,,,,"https://en.wikipedia.org/wiki/Workday,_Inc.","https://en.wikipedia.org/wiki/Workday,_Inc."
2026,Celanese,,431,Scott Richardson,,,,,,https://en.wikipedia.org/wiki/Celanese,https://en.wikipedia.org/wiki/Celanese
2026,Western Digital,,432,Irving Tan,,,,,,https://en.wikipedia.org/wiki/Western_Digital,https://en.wikipedia.org/wiki/Western_Digital
2026,QVC Group,Qurate Retail,433,David Rawlinson II,,,,,,https://en.wikipedia.org/wiki/QVC_Group,https://en.wikipedia.org/wiki/QVC_Group
2026,Zoetis,,434,Kristin Peck,Kristin C. Peck,,,,,https://en.wikipedia.org/wiki/Zoetis,https://en.wikipedia.org/wiki/Zoetis
2026,CenterPoint Energy,,435,Jason P. Wells,,,,,,https://en.wikipedia.org/wiki/CenterPoint_Energy,https://en.wikipedia.org/wiki/CenterPoint_Energy
2026,Equinix,,436,Adaire FoxMartin,,,,,,https://en.wikipedia.org/wiki/Equinix,https://en.wikipedia.org/wiki/Equinix
2026,Palo Alto Networks,,437,Nikesh Arora,,,,,,https://en.wikipedia.org/wiki/Palo_Alto_Networks,https://en.wikipedia.org/wiki/Palo_Alto_Networks
2026,APA,,438,John J. Christmann IV,,,,,,https://en.wikipedia.org/wiki/APA_Corporation,https://en.wikipedia.org/wiki/APA_Corporation
2026,Old Republic International,,439,Craig R. Smiddy,Craig Smiddy,,,,,https://en.wikipedia.org/wiki/Old_Republic_International,https://en.wikipedia.org/wiki/Old_Republic_International
2026,Comfort Systems USA,,440,Franklin Myers,,,,,,https://en.wikipedia.org/wiki/Comfort_Systems_USA,https://en.wikipedia.org/wiki/Comfort_Systems_USA
2026,JetBlue Airways,,441,Joanna Geraghty,,,,,,https://en.wikipedia.org/wiki/JetBlue,https://en.wikipedia.org/wiki/JetBlue
2026,PPL,,442,Vincent Sorgi,,,,,,https://en.wikipedia.org/wiki/PPL_Corporation,https://en.wikipedia.org/wiki/PPL_Corporation
2026,Xylem,,443,Matthew Pine,,,,,,https://en.wikipedia.org/wiki/Xylem_Inc.,https://en.wikipedia.org/wiki/Xylem_Inc.
2026,Arista Networks,,444,Jayshree Ullal,,,,,,https://en.wikipedia.org/wiki/Arista_Networks,https://en.wikipedia.org/wiki/Arista_Networks
2026,Packaging Corp. of America,,445,Mark W. Kowlzan,Mark Kowlzan,,,,,https://en.wikipedia.org/wiki/Packaging_Corporation_of_America,https://en.wikipedia.org/wiki/Packaging_Corporation_of_America
2026,PVH,,446,Stefan Larsson,,,,,,https://en.wikipedia.org/wiki/PVH_Corp.,https://en.wikipedia.org/wiki/PVH_Corp.
2026,Ovintiv,,447,Brendan McCracken,,,,,,https://en.wikipedia.org/wiki/Ovintiv,https://en.wikipedia.org/wiki/Ovintiv
2026,Avery Dennison,,448,Deon Stander,,,,,,https://en.wikipedia.org/wiki/Avery_Dennison,https://en.wikipedia.org/wiki/Avery_Dennison
2026,TransDigm Group,,449,Mike Lisman,,,,,,https://en.wikipedia.org/wiki/TransDigm_Group,https://en.wikipedia.org/wiki/TransDigm_Group
2026,Sprouts Farmers Market,,450,Jack Sinclair,,,,,,https://en.wikipedia.org/wiki/Sprouts_Farmers_Market,https://en.wikipedia.org/wiki/Sprouts_Farmers_Market
2026,Prologis,,451,Hamid Moghadam,,,,,,https://en.wikipedia.org/wiki/Prologis,https://en.wikipedia.org/wiki/Prologis
2026,Franklin Resources,,452,Jennifer M. Johnson,,,,,,https://en.wikipedia.org/wiki/Franklin_Templeton,https://en.wikipedia.org/wiki/Franklin_Templeton
2026,Eastman Chemical,,453,Mark J. Costa,,,,,,https://en.wikipedia.org/wiki/Eastman_Chemical_Company,https://en.wikipedia.org/wiki/Eastman_Chemical_Company
2026,ABM Industries,,454,Scott Salmirs,Scott B. Salmirs,,,,,https://en.wikipedia.org/wiki/ABM_Industries,https://en.wikipedia.org/wiki/ABM_Industries
2026,NOV,,455,Jose Bayardo,,,,,,https://en.wikipedia.org/wiki/NOV_Inc.,https://en.wikipedia.org/wiki/NOV_Inc.
2026,J.M. Smucker,,456,Mark T. Smucker,Mark Smucker,,,,,https://en.wikipedia.org/wiki/The_J.M._Smucker_Company,https://en.wikipedia.org/wiki/The_J.M._Smucker_Company
2026,Securian Financial Group,,457,Christopher M. Hilger,,,,,,https://en.wikipedia.org/wiki/Securian_Financial_Group,https://en.wikipedia.org/wiki/Securian_Financial_Group
2026,EQT,,458,Toby Rice,Toby Z. Rice,,,,,https://en.wikipedia.org/wiki/EQT_Corporation,https://en.wikipedia.org/wiki/EQT_Corporation
2026,CACI International,,459,John Mengucci,,,,,,https://en.wikipedia.org/wiki/CACI,https://en.wikipedia.org/wiki/CACI
2026,Graphic Packaging Holding,,460,Robbert Rietbroek,,,,,,https://en.wikipedia.org/wiki/Graphic_Packaging,https://en.wikipedia.org/wiki/Graphic_Packaging
2026,Advance Auto Parts,,461,Shane O'Kelly,,,,,,https://en.wikipedia.org/wiki/Advance_Auto_Parts,https://en.wikipedia.org/wiki/Advance_Auto_Parts
2026,Optimum Communications,Altice USA,462,Dennis Mathew,,,,,,https://en.wikipedia.org/wiki/Optimum_Communications,https://en.wikipedia.org/wiki/Optimum_Communications
2026,Sirius XM Holdings,,463,Jennifer Witz,,,,,,https://en.wikipedia.org/wiki/SiriusXM,https://en.wikipedia.org/wiki/SiriusXM
2026,CMS Energy,,464,Garrick Rochow,Garrick J. Rochow,,,,,https://en.wikipedia.org/wiki/CMS_Energy,https://en.wikipedia.org/wiki/CMS_Energy
2026,Hertz Global Holdings,,465,Gil West,,,,,,https://en.wikipedia.org/wiki/Hertz_Global_Holdings,https://en.wikipedia.org/wiki/Hertz_Global_Holdings
2026,Ameren,,466,Martin J. Lyons Jr.,,,,,,https://en.wikipedia.org/wiki/Ameren,https://en.wikipedia.org/wiki/Ameren
2026,Rockwell Automation,,467,Blake Moret,Blake D. Moret,,,,,https://en.wikipedia.org/wiki/Rockwell_Automation,https://en.wikipedia.org/wiki/Rockwell_Automation
2026,Solventum,,468,Bryan Hanson,,,,,,https://en.wikipedia.org/wiki/Solventum,https://en.wikipedia.org/wiki/Solventum
2026,Monster Beverage,,469,Rodney Sacks,,Hilton Schlosberg,,,,https://en.wikipedia.org/wiki/Monster_Beverage,https://en.wikipedia.org/wiki/Monster_Beverage
2026,Nasdaq,,470,Adena Friedman,,,,,,"https://en.wikipedia.org/wiki/Nasdaq,_Inc.","https://en.wikipedia.org/wiki/Nasdaq,_Inc."
2026,Howmet Aerospace,,471,John C. Plant,,,,,,https://en.wikipedia.org/wiki/Howmet_Aerospace,https://en.wikipedia.org/wiki/Howmet_Aerospace
2026,Insight Enterprises,,472,Jack Azagury,,,,,,https://en.wikipedia.org/wiki/Insight_Enterprises,https://en.wikipedia.org/wiki/Insight_Enterprises
2026,Zimmer Biomet Holdings,,473,Ivan Tornos,,,,,,https://en.wikipedia.org/wiki/Zimmer_Biomet,https://en.wikipedia.org/wiki/Zimmer_Biomet
2026,Yum Brands,,474,Chris Turner,,,,,,https://en.wikipedia.org/wiki/Yum!_Brands,https://en.wikipedia.org/wiki/Yum!_Brands
2026,Fastenal,,475,Daniel L. Florness,,,,,,https://en.wikipedia.org/wiki/Fastenal,https://en.wikipedia.org/wiki/Fastenal
2026,Marvell Technology,,476,Matthew Murphy,,,,,,https://en.wikipedia.org/wiki/Marvell_Technology,https://en.wikipedia.org/wiki/Marvell_Technology
2026,Voya Financial,,477,Heather Lavallee,,,,,,https://en.wikipedia.org/wiki/Voya_Financial,https://en.wikipedia.org/wiki/Voya_Financial
2026,American Financial Group,,478,S. Craig Lindner,,Carl H. Lindner III,,,,https://en.wikipedia.org/wiki/American_Financial_Group,https://en.wikipedia.org/wiki/American_Financial_Group
2026,Post Holdings,,479,Rob Vitale,,,,,,https://en.wikipedia.org/wiki/Post_Holdings,https://en.wikipedia.org/wiki/Post_Holdings
2026,XPO,,480,Mario Harik,Mario A. Harik,,,,,"https://en.wikipedia.org/wiki/XPO,_Inc.","https://en.wikipedia.org/wiki/XPO,_Inc."
2026,DuPont,,481,Lori Koch,,,,,,https://en.wikipedia.org/wiki/DuPont,https://en.wikipedia.org/wiki/DuPont
2026,Sanmina,,482,Jure Sola,,,,,,https://en.wikipedia.org/wiki/Sanmina_Corporation,https://en.wikipedia.org/wiki/Sanmina_Corporation
2026,Taylor Morrison Home,,483,Sheryl D. Palmer,Sheryl Palmer,,,,,https://en.wikipedia.org/wiki/Taylor_Morrison,https://en.wikipedia.org/wiki/Taylor_Morrison
2026,Dover,,484,Richard J. Tobin,Richard Tobin,,,,,https://en.wikipedia.org/wiki/Dover_Corporation,https://en.wikipedia.org/wiki/Dover_Corporation
2026,Vulcan Materials,,485,J. Thomas Hill,,,,,,https://en.wikipedia.org/wiki/Vulcan_Materials_Company,https://en.wikipedia.org/wiki/Vulcan_Materials_Company
2026,APi Group,,486,Russell A. Becker,Russell Becker,,,,,,
2026,Roper Technologies,,487,Neil Hunn,,,,,,https://en.wikipedia.org/wiki/Roper_Technologies,https://en.wikipedia.org/wiki/Roper_Technologies
2026,KBR,,488,Stuart Bradie,,,,,,"https://en.wikipedia.org/wiki/KBR,_Inc.","https://en.wikipedia.org/wiki/KBR,_Inc."
2026,Sonoco Products,,489,Howard Coker,,,,,,https://en.wikipedia.org/wiki/Sonoco,https://en.wikipedia.org/wiki/Sonoco
2026,Williams-Sonoma,,490,Laura Alber,Laura J. Alber,,,,,"https://en.wikipedia.org/wiki/Williams-Sonoma,_Inc.","https://en.wikipedia.org/wiki/Williams-Sonoma,_Inc."
2026,Commercial Metals,,491,Peter R. Matt,,,,,,https://en.wikipedia.org/wiki/Commercial_Metals_Company,https://en.wikipedia.org/wiki/Commercial_Metals_Company
2026,Moody's,,492,Rob Fauber,,,,,,https://en.wikipedia.org/wiki/Moody%27s_Corporation,https://en.wikipedia.org/wiki/Moody%27s_Corporation
2026,Continental Resources,,493,Doug Lawler,,,,,,https://en.wikipedia.org/wiki/Continental_Resources,https://en.wikipedia.org/wiki/Continental_Resources
2026,Ingersoll Rand,,494,Vicente Reynal,,,,,,https://en.wikipedia.org/wiki/Ingersoll_Rand,https://en.wikipedia.org/wiki/Ingersoll_Rand
2026,Core & Main,,495,Steve LeClair,,,,,,https://en.wikipedia.org/wiki/Core_%26_Main,https://en.wikipedia.org/wiki/Core_%26_Main
2026,Coterra Energy,,496,Thomas E. Jorden,Thomas Jorden,,,,,https://en.wikipedia.org/wiki/Coterra,https://en.wikipedia.org/wiki/Coterra
2026,Primoris Services,,497,Koti Vadlamudi,,,,,,https://en.wikipedia.org/wiki/Primoris_Services_Corporation,https://en.wikipedia.org/wiki/Primoris_Services_Corporation
2026,Masco,,498,Keith J. Allman,Keith Allman,,,,,https://en.wikipedia.org/wiki/Masco,https://en.wikipedia.org/wiki/Masco
2026,Somnigroup International,,499,Scott L. Thompson,,,,,,https://en.wikipedia.org/wiki/Somnigroup_International,https://en.wikipedia.org/wiki/Somnigroup_International
2026,Resideo Technologies,,500,Jay Geldmacher,,,,,,https://en.wikipedia.org/wiki/Resideo,https://en.wikipedia.org/wiki/Resideo
