company,CEO,rollback
Costco,Ron Vachris,no
Apple,Tim Cook,no
Microsoft,Satya Nadella,no
Goldman Sachs,David Solomon,no
McDonald’s,Chris Kempczinski,yes
Walmart,John Furner,yes
Amazon,Andy Jassy,yes
Lowe’s,Marvin Ellison,yes
